Address                                            ,State ,Casino_Name                                                 ,latitude           ,longitude           ,fips_codes_30_mile                                                                                                               ,casino_control_counties
310 Bayview Blvd Klawock AK 99925                  ,AK    ,Klawock Bingo                                               ,55.558551864215524 ,-133.09816532837021 ,['02198']                                                                                                                        ,"['02275', '02130', '02195']"
Western Ave Metlakatla AK 99926                    ,AK    ,MIC Gaming Casino                                           ,55.1278099         ,-131.5837248        ,"['02130', '02198']"                                                                                                             ,['02275']
6450 AL-21 Atmore AL 36502                         ,AL    ,Wind Creek Casino and Hotel - Atmore                        ,31.112286347379865 ,-87.47290405836011  ,"['01035', '12033', '12113', '01053', '01003', '01099', '01025']"                                                                ,"['01061', '01065', '28041', '01129', '28131', '28111', '01013', '01105', '01109', '01097', '01041', '01101', '28023', '01119', '12131', '28039', '01023', '01063', '01039', '12091', '01047', '01085', '28153', '28059', '01031', '12059', '01131', '01001', '01091']"
1801 Eddie L Tullis Rd Montgomery AL 36117         ,AL    ,Wind Creek Casino and Hotel - Montgomery                    ,32.425383          ,-86.1392198         ,"['01001', '01051', '01087', '01101', '01041', '01021', '01037', '01085', '01011', '01109', '01123']"                            ,"['01061', '01065', '01005', '01113', '01015', '01029', '01115', '13199', '01069', '13061', '01035', '01027', '01121', '01013', '01105', '01007', '01111', '01117', '13053', '01053', '13215', '01067', '13149', '01099', '13145', '13239', '12131', '01081', '13077', '13045', '13259', '01073', '01045', '01125', '01039', '01017', '01009', '01047', '13285', '13099', '01055', '01031', '12059', '01131', '13243', '01091']"
100 River Oaks Dr Wetumpka AL 36092                ,AL    ,Wind Creek Casino and Hotel - Wetumpka                      ,32.5271229         ,-86.21006333574087  ,"['01001', '01051', '01087', '01101', '01021', '01037', '01085', '01011', '01123']"                                              ,"['01061', '01065', '01005', '01113', '01015', '01029', '01115', '13199', '01069', '13061', '01035', '01027', '01121', '01013', '01105', '01109', '01007', '01111', '01117', '13053', '01053', '01041', '13215', '01067', '13149', '01099', '13145', '13239', '13143', '01081', '13045', '13259', '01073', '01045', '01127', '01125', '01039', '01017', '01009', '01047', '13285', '01055', '01031', '01131', '13243', '01091']"
15406 N Maricopa Rd Maricopa AZ 85139              ,AZ    ,Harrah's Ak-Chin Casino Resort                              ,33.02299395        ,-112.04988984298828 ,"['04013', '04021']"                                                                                                             ,"['04025', '04012', '04027', '04019', '04007']"
15318 S Avenue B Somerton AZ 85350                 ,AZ    ,Cocopah Bingo and Casino                                    ,32.6186616         ,-114.6496882        ,"['06025', '04027', '04012']"                                                                                                    ,"['06065', '04019', '04013']"
100 W Riverside Dr Parker AZ 85344                 ,AZ    ,Blue Water Casino                                           ,34.1525717         ,-114.2840198        ,"['04015', '06071', '06065', '04012']"                                                                                           ,"['06025', '04025', '04027', '32003', '04013']"
10180 N Fort McDowell Rd Fort McDowell AZ 85264    ,AZ    ,We-Ko-Pa Casino Resort                                      ,33.628925          ,-111.6762303        ,"['04013', '04007', '04021', '04025']"                                                                                           ,"['04017', '04009', '04019', '04005']"
8555 AZ-95 Mohave Valley AZ 86440                  ,AZ    ,Spirit Mountain Casino                                      ,34.90746005126062  ,-114.59800485118389 ,"['32003', '04015', '06071']"                                                                                                    ,"['04025', '06027', '04012', '04005', '06065']"
6443 South Komatke Lane                            ,AZ    ,Vee Quiva Casino                                            ,33.3114539         ,-112.1606291        ,"['04013', '04021']"                                                                                                             ,"['04025', '04012', '04027', '04005', '04019', '04007']"
Chandler AZ 85226                                  ,AZ    ,Wild Horse Pass Casino                                      ,33.3062031         ,-111.841185         ,"['04013', '04021']"                                                                                                             ,"['04025', '04017', '04009', '04005', '04019', '04007']"
1077 S Kyrene Rd Chandler AZ 85226                 ,AZ    ,Lone Butte Casino                                           ,33.3191052         ,-111.9454993        ,"['04013', '04021']"                                                                                                             ,"['04025', '04012', '04027', '04017', '04005', '04019', '04007']"
Flagstaff AZ 86004                                 ,AZ    ,Twin Arrows Navajo Casino Resort                            ,35.1987522         ,-111.651822         ,"['04005', '04025']"                                                                                                             ,"['04017', '04013', '04007']"
5655 W Valencia Rd Tucson AZ 85757                 ,AZ    ,Casino Del Sol                                              ,32.1339052         ,-110.990759         ,"['04023', '04021', '04019']"                                                                                                    ,"['04003', '04009', '04013', '04007']"
Tucson AZ 85757 USA                                ,AZ    ,Casino of the Sun                                           ,32.2228765         ,-110.974847         ,"['04021', '04019']"                                                                                                             ,"['04003', '04009', '04013', '04023', '04007']"
524 N 92nd St Scottsdale AZ 85256                  ,AZ    ,Casino Arizona                                              ,33.4768157         ,-111.8826973        ,"['04013', '04021']"                                                                                                             ,"['04025', '04017', '04009', '04005', '04019', '04007']"
9800 Talking Stick Way Scottsdale AZ 85256         ,AZ    ,Talking Stick Resort                                        ,33.5408139         ,-111.86966668693623 ,"['04013', '04021']"                                                                                                             ,"['04025', '04017', '04009', '04005', '04019', '04007']"
2407 E Ash St Globe AZ 85501                       ,AZ    ,Apache Gold Casino                                          ,33.3929981         ,-110.7814202        ,"['04009', '04013', '04007', '04021']"                                                                                           ,"['04003', '04025', '04011', '04017', '04001', '04005', '04019']"
80440 E Aravaipa Rd Winkelman AZ 85192             ,AZ    ,Apache Sky Casino                                           ,32.8487462         ,-110.7028107        ,"['04009', '04007', '04021', '04019']"                                                                                           ,"['04003', '04025', '04011', '04017', '04013', '04001', '04023', '04005']"
9431 W Northern Ave Glendale AZ 85305              ,AZ    ,Desert Diamond Casino West Valley Si'al Ke                  ,33.54668555        ,-112.2611264748243  ,"['04013', '04021', '04025']"                                                                                                    ,"['04012', '04027', '04015', '04005', '04019', '04007']"
Indian Rte 3 Pisinemo AZ 85634                     ,AZ    ,Desert Diamond Why                                          ,31.922523040816326 ,-112.21416020408164 ,['04019']                                                                                                                        ,"['04023', '04021', '04013', '04027']"
7350 S Nogales Hwy Tucson AZ 85756                 ,AZ    ,Desert Diamond Tucson                                       ,32.1256815         ,-110.9611126        ,"['04023', '04021', '04019']"                                                                                                    ,"['04003', '04009', '04013', '04007']"
1100 W Pima Mine Rd Sahuarita AZ 85629             ,AZ    ,Desert Diamond Sahuarita                                    ,32.001234          ,-110.9780074        ,"['04023', '04019']"                                                                                                             ,"['04003', '04021', '04009', '04013', '04007']"
308 E Ridge Ln Payson AZ 85541                     ,AZ    ,Mazatzal Hotel & Casino                                     ,34.22496844987509  ,-111.32601950345453 ,"['04005', '04013', '04007', '04025']"                                                                                           ,"['04017', '04021', '04009']"
777 AZ-260 Pinetop AZ 85935                        ,AZ    ,Hon Dah Resort - Casino                                     ,34.12971953061224  ,-109.9462642244898  ,"['04007', '04001', '04017']"                                                                                                    ,"['04021', '35006', '04011', '35031', '04009', '04013', '35017', '04005', '35003']"
555 W Middle Verde Rd Camp Verde AZ 86322          ,AZ    ,Cliff Castle Casino                                         ,34.60643655        ,-111.86231767922084 ,"['04005', '04007', '04025']"                                                                                                    ,"['04017', '04021', '04013']"
500 AZ-89 Prescott AZ 86301                        ,AZ    ,Bucky's Casino                                              ,34.5553492         ,-112.4534938        ,"['04005', '04025']"                                                                                                             ,"['04021', '04012', '04013', '04015', '04007']"
1505 AZ-69 Prescott AZ 86301                       ,AZ    ,Yavapai Gaming Center                                       ,34.548172534799406 ,-112.44628599456163 ,['04025']                                                                                                                        ,"['04021', '04012', '04013', '04015', '04005', '04007']"
32-250 Bob Hope Dr Rancho Mirage CA 92270          ,CA    ,Agua Caliente Casino Rancho Mirage                          ,33.814819850000006 ,-116.40833097632355 ,"['06073', '06071', '06065']"                                                                                                    ,"['06037', '06025', '06059']"
32-279 Bob Hope Dr Rancho Mirage CA 92270          ,CA    ,Agua Caliente Fuel                                          ,33.8151426         ,-116.4103821        ,"['06073', '06071', '06065']"                                                                                                    ,"['06037', '06025', '06059']"
68960 E Palm Canyon Dr Cathedral City CA 92234     ,CA    ,Agua Caliente Casino Cathedral City                         ,33.77888994415348  ,-116.46071479257007 ,"['06073', '06071', '06065']"                                                                                                    ,"['06037', '06025', '06059']"
401 E Amado Rd Palm Springs CA 92262               ,CA    ,Agua Caliente Casino Palm Springs                           ,33.826751          ,-116.5238115        ,"['06073', '06071', '06065']"                                                                                                    ,"['06037', '06025', '06059']"
101-199 Water St Alturas CA 96101                  ,CA    ,Desert Rose Casino                                          ,41.4809316         ,-120.5422916        ,"['06035', '06049']"                                                                                                             ,"['06093', '32027', '41025', '06063', '32013', '41037', '06089', '41035', '32031', '06103']"
84360 Avenue 54 Coachella CA 92236                 ,CA    ,Augustine Casino                                            ,33.656474          ,-116.19282777079012 ,"['06073', '06025', '06071', '06065']"                                                                                           ,['06059']
1932 Wildcat Canyon Rd Lakeside CA 92040           ,CA    ,Barona Valley Ranch Resort and Casino                       ,32.890957          ,-116.891342         ,['06073']                                                                                                                        ,"['06025', '06071', '06037', '06059', '06065']"
Main Street Loleta CA                              ,CA    ,Bear River Casino Resort                                    ,40.6396923         ,-124.2248146        ,['06023']                                                                                                                        ,"['06093', '06015', '06089', '06045', '41033', '06103', '41015', '06105']"
Main Street Loleta CA                              ,CA    ,Bear River Pump and Play                                    ,40.6396923         ,-124.2248146        ,['06023']                                                                                                                        ,"['06093', '06015', '06089', '06045', '41033', '06103', '41015', '06105']"
4020 Olive Hwy Oroville CA 95966                   ,CA    ,Gold Country Casino                                         ,39.5014381         ,-121.5314695        ,"['06057', '06115', '06101', '06063', '06011', '06021', '06007']"                                                                ,"['06033', '06055', '06091', '06035', '06013', '06097', '06061', '06089', '06077', '06067', '06095', '06045', '06113', '06009', '06103', '06017', '06005']"
