Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
310 Bayview Blvd Klawock AK 99925                  ,55.55855186,-133.0981653,02198,Klawock Cooperative Association                                                       ,Class II                              ,65,     2020 ,                 ,               ,1.0,          ,AK,Klawock Bingo
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,02130,Metlakatla Indian Community Annette Island Reservation                                ,Class II                              ,90,     2006 ,            6000 ,               ,1.0,          ,AK,MIC Gaming Casino
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,02198,Metlakatla Indian Community Annette Island Reservation                                ,Class II                              ,90,     2006 ,            6000 ,               ,1.0,          ,AK,MIC Gaming Casino
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,01035,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,12033,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,12113,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,01053,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,01003,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,01099,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,01025,Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
