State ,Tribe Name                                                                            ,Casino Name                                       ,Address                                     ,Game Class Type                    ,Work Phone                            ,Work Fax                              ,Email Address
AK    ,Klawock Cooperative Association                                                       ,Klawock Bingo                                     ,PO Box 430 310 Bayview Blvd                 ,Klawock AK 99925                   ,Class II                              ,907-755-4807                          ,907-755-2265                          ,smokemanager@klawocktribe.org
AK    ,Metlakatla Indian Community                                                           ,Annette Island Reservation                        ,MIC Gaming Casino                           ,PO Box 8 900 Milton Street         ,Metlakatla AK 99926                   ,Class II                              ,907-886-4266                          ,907-886-7997                                                                          ,jonihudson@rocketmail.com
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Atmore              ,5811 Jack Springs Road                      ,Atmore AL 36502                    ,Class II                              ,251-446-4269                          ,251-368-8590                          ,tramer@windcreek.com
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Montgomery          ,5811 Jack Springs Road                      ,Atmore AL 36502                    ,Class II                              ,334-514-5126                          ,334-396-9282                          ,jcarlton@windcreekmontgomery.com
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Wetumpka            ,5811 Jack Springs Road                      ,Atmore AL 36502                    ,Class II                              ,334-514-1284                          ,334-514-9574                          ,ksimmons@windcreek.com
AZ    ,Ak-Chin Indian Community of the Maricopa Indian Reservation                           ,Harrah's Ak-Chin Casino Resort                    ,42507 W. Peters & Nall Rd.                  ,Maricopa AZ 85238                  ,Class II & III                        ,480-802-5051                          ,480-802-5048                          ,rkintner@ceasars.com
AZ    ,Cocopah Tribe of Arizona                                                              ,Cocopah Bingo and Casino                          ,County 15th & Ave. G                        ,Somerton AZ 85350                  ,Class II & III                        ,928-726-8066                          ,928-344-8010                          ,sknapp@cocopah-casino.com
AZ    ,Colorado River Indian Tribes of the Colorado River Indian Reservation                 ,AZ and CA                                         ,Blue Water Casino                           ,26600 Mohave Road                  ,Parker AZ 85344                       ,Class II & III                        ,888-243-3360                          ,928-669-5910                                                                          ,
AZ    ,Fort McDowell Yavapai Nation of Arizona                                               ,We-Ko-Pa Casino Resort                            ,P.O. Box 17779                              ,Fountain Hills AZ 85269            ,Class II & III                        ,480-789-4701                          ,480-837-0844                          ,amoss@wekopacasinoresort.com
AZ    ,Fort Mojave Indian Tribe                                                              ,Spirit Mountain Casino                            ,500 Merriman Avenue                         ,Needles CA 92363                   ,Class III                             ,928-346-2000                          ,928-346-2007                          ,
AZ    ,Gila River Indian Community of the Gila River Indian Reservation                      ,Arizona                                           ,Vee Quiva Casino                            ,P.O. Box 97 315 West Casa Blanca   ,Sacaton AZ 85247                      ,Class II & III                        ,520-796-1920                          ,520-796-7712                                                                          ,denise.pfaff@gilacasino.com
AZ    ,Gila River Indian Community of the Gila River Indian Reservation                      ,Arizona                                           ,Wild Horse Pass Casino                      ,P.O. Box 97 315 West Casa Blanca   ,Sacaton AZ 85247                      ,Class II & III                        ,520-796-7139                          ,520-796-7712                                                                          ,scott.ogorman@gilacasino.com
AZ    ,Gila River Indian Community of the Gila River Indian Reservation                      ,Arizona                                           ,Lone Butte Casino                           ,P.O. Box 97 315 West Casa Blanca   ,Sacaton AZ 85247                      ,Class II & III                        ,520-796-4903                          ,520-796-7712                                                                          ,jaime.martinez@wingilariver.com
AZ    ,Navajo Nation                                                                         ,Twin Arrows Navajo Casino Resort                  ,P.O. Box 9000                               ,Window Rock AZ 86515               ,Class II & III                        ,928-856-7200                          ,928-856-7280                          ,brycewarren@nnge.org
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino Del Sol                                    ,7474 S. Camino De Oeste                     ,Tucson AZ 85746                    ,Class II                              ,520-838-6508                          ,520-838-6706                          ,Kimberly.VanAmburg@casinodelsol.com
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino of the Sun                                 ,7474 S. Camino De Oeste                     ,Tucson AZ 85746                    ,Class III                             ,520-879-5450                          ,520-883-0983                          ,Kimberly.VanAmburg@casinodelsol.com
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Casino Arizona                                    ,10005 East Osborn Road                      ,Scottsdale AZ 85256                ,Class II & III                        ,480-580-4083                          ,480-362-5488                          ,Trenni.Martinez@srpmic-nsn.gov
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Talking Stick Resort                              ,10005 East Osborn Road                      ,Scottsdale AZ 85256                ,Class II & III                        ,480-270-5568                          ,480-362-5488                          ,Blossom.Maldonado@srpmic-nsn.gov
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Gold Casino                                ,P.O. Box 0                                  ,San Carlos AZ 85550                ,Class II & III                        ,928-475-7800                          ,928-475-7692                          ,lindamichels@agcr.us
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Sky Casino                                 ,P.O. Box 0                                  ,San Carlos AZ 85550                ,Class III                             ,928-475-0077                          ,982-475-7692                          ,LeeRandall@agcr.us
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Casino West Valley                 ,Si'al Ke                                    ,P.O. Box 837                       ,Sells AZ 85634                        ,Class II & III                        ,623-633-8730                          ,520-342-2129                                                                          ,jfdelgado@ddcaz.com
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Why                                ,P.O. Box 837                                ,Sells AZ 85634                     ,Class III                             ,520-362-2746                          ,520-362-2885                          ,dchilton@ddcaz.com
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Tucson                             ,P.O. Box 837                                ,Sells AZ 85634                     ,Class II & III                        ,520-294-7777                          ,520-342-2019                          ,dchilton@ddcaz.com
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Sahuarita                          ,P.O. Box 837                                ,Sells AZ 85634                     ,Class II & III                        ,520-294-7777                          ,520-342-2019                          ,dchilton@ddcaz.com
AZ    ,Tonto Apache Tribe of Arizona                                                         ,Mazatzal Hotel & Casino                           ,Tonto Apache Reservation #30                ,Payson AZ 85541                    ,Class II & III                        ,928-474-6044                          ,928-472-2069                          ,hnanty@mazatzal.com
AZ    ,White Mountain Apache Tribe of the Fort Apache Reservation                            ,AZ                                                ,Hon Dah Resort - Casino                     ,201 E. Walnut St                   ,Whiteriver AZ 85941                   ,Class II & III                        ,928-369-0299                          ,928-369-0382                                                                          ,elockett@hon-dah.com
AZ    ,Yavapai-Apache Nation of the Camp Verde Indian Reservation                            ,Cliff Castle Casino                               ,2400 W. Datsi Street                        ,Camp Verde AZ 86322                ,Class II & III (See 25 CFR 502.3 & 4) ,928-567-7900                          ,928-567-7901                          ,rrubio@cliffcastlecasino.net
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Bucky's Casino                                    ,530 East Merritt St. 305 S. Heather Heights ,Prescott AZ 863012038              ,Class II & III (See 25 CFR 502.3 & 4) ,928-778-7909                          ,928-771-0653                          ,bogo@ypit.com
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Yavapai Gaming Center                             ,530 East Merritt St. 305 S. Heather Heights ,Prescott AZ 863012038              ,Class III (See 25 CFR 502.3 & 4)      ,928-445-5767                          ,928-771-0653                          ,
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Rancho Mirage                ,5401 Dinah Shore Dr.                        ,Palm Springs CA 92264              ,Class II & III (See 25 CFR 502.3 & 4) ,760-883-1000                          ,760-202-2616                          ,sscheri@accmail.net
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Fuel                                ,5401 Dinah Shore Dr.                        ,Palm Springs CA 92264              ,Class II (See 25 CFR 502.3 & 4)       ,760-883-1000                          ,                                      ,sscheri@accmail.net
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Cathedral City               ,5401 Dinah Shore Dr.                        ,Palm Springs CA 92264              ,Class III (See 25 CFR 502.3 & 4)      ,760-833-1000                          ,760-202-2616                          ,sscheri@accmail.net
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Palm Springs                 ,5401 Dinah Shore Dr.                        ,Palm Springs CA 92264              ,Class III (See 25 CFR 502.3 & 4)      ,760-883-1000                          ,760-883-1289                          ,cgraham@accmail.net
CA    ,Alturas Indian Rancheria                                                              ,Desert Rose Casino                                ,PO Box 340 901 County Road 56               ,Alturas CA 96101                   ,Class II & III (See 25 CFR 502.3 & 4) ,530-233-3141                          ,530-233-3170                          ,pdisario@desertrosecasino.net
CA    ,Augustine Band of Cahuilla Indians                                                    ,Augustine Casino                                  ,P.O. Box 846 84481 Avenue 54                ,Coachella CA 92236                 ,Class III (See 25 CFR 502.3 & 4)      ,760-398-9500                          ,760-391-9045                          ,jbauer@augustinecasino.com
CA    ,Barona Group of Capitan Grande Band of Mission Indians                                ,Barona Valley Ranch Resort and Casino             ,1095 Barona Road                            ,Lakeside CA 92040                  ,Class II & III (See 25 CFR 502.3 & 4) ,619-443-2300                          ,619-443-6977                          ,
