agency_name,state,year,fips_state_county_code,total_sum
love,oklahoma,2017,40085,688
love,oklahoma,2016,40085,263
love,oklahoma,2015,40085,257
love,oklahoma,2014,40085,167
love,oklahoma,2013,40085,464
love,oklahoma,2012,40085,400
love,oklahoma,2011,40085,284
love,oklahoma,2010,40085,432
love,oklahoma,2009,40085,399
love,oklahoma,2008,40085,466
love,oklahoma,2007,40085,525
love,oklahoma,2006,40085,510
love,oklahoma,2005,40085,550
love,oklahoma,2004,40085,562
love,oklahoma,2003,40085,675
love,oklahoma,2002,40085,636
love,oklahoma,2001,40085,527
love,oklahoma,2000,40085,502
love,oklahoma,1999,40085,801
love,oklahoma,1998,40085,750
love,oklahoma,1997,40085,716
love,oklahoma,1996,40085,726
love,oklahoma,1995,40085,684
love,oklahoma,1994,40085,607
love,oklahoma,1993,40085,591
love,oklahoma,1992,40085,692
love,oklahoma,1991,40085,826
love,oklahoma,1990,40085,982
love,oklahoma,1989,40085,428
love,oklahoma,1988,40085,724
love,oklahoma,1987,40085,603
love,oklahoma,1986,40085,664
love,oklahoma,1985,40085,472
love,oklahoma,1984,40085,505
love,oklahoma,1983,40085,388
love,oklahoma,1982,40085,422
love,oklahoma,1981,40085,406
love,oklahoma,1980,40085,440
love,oklahoma,1979,40085,838
love,oklahoma,1978,40085,1079
love,oklahoma,1977,40085,1085
love,oklahoma,1976,40085,1296
love,oklahoma,1975,40085,1008
love,oklahoma,1974,40085,949
love,oklahoma,1973,40085,1023
love,oklahoma,1972,40085,715
love,oklahoma,1971,40085,739
love,oklahoma,1970,40085,779
love,oklahoma,1969,40085,604
love,oklahoma,1968,40085,551
love,oklahoma,1967,40085,606
love,oklahoma,1966,40085,648
love,oklahoma,1965,40085,560
love,oklahoma,1964,40085,504
love,oklahoma,1963,40085,471
love,oklahoma,1962,40085,297
love,oklahoma,1961,40085,299
love,oklahoma,1960,40085,370
cooke,texas,2017,48097,1111
cooke,texas,2016,48097,1187
cooke,texas,2015,48097,0
cooke,texas,2014,48097,0
cooke,texas,2013,48097,0
cooke,texas,2012,48097,0
cooke,texas,2011,48097,0
cooke,texas,2010,48097,1667
cooke,texas,2009,48097,1725
cooke,texas,2008,48097,1610
cooke,texas,2007,48097,1832
cooke,texas,2006,48097,1818
cooke,texas,2005,48097,1941
cooke,texas,2004,48097,1897
cooke,texas,2003,48097,1544
cooke,texas,2002,48097,1505
cooke,texas,2001,48097,1408
cooke,texas,2000,48097,1109
cooke,texas,1999,48097,1411
cooke,texas,1998,48097,1580
cooke,texas,1997,48097,2059
cooke,texas,1996,48097,1897
cooke,texas,1995,48097,1802
cooke,texas,1994,48097,1595
cooke,texas,1993,48097,1561
cooke,texas,1992,48097,1909
cooke,texas,1991,48097,2102
cooke,texas,1990,48097,1761
cooke,texas,1989,48097,1640
cooke,texas,1988,48097,1431
cooke,texas,1987,48097,1660
cooke,texas,1986,48097,1618
cooke,texas,1985,48097,1649
cooke,texas,1984,48097,1521
cooke,texas,1983,48097,1288
cooke,texas,1982,48097,1681
cooke,texas,1981,48097,1199
cooke,texas,1980,48097,1145
cooke,texas,1979,48097,1140
cooke,texas,1978,48097,992
cooke,texas,1977,48097,31
cooke,texas,1976,48097,281
cooke,texas,1975,48097,567
cooke,texas,1974,48097,0
cooke,texas,1973,48097,0
cooke,texas,1972,48097,0
cooke,texas,1971,48097,0
cooke,texas,1970,48097,0
cooke,texas,1969,48097,0
cooke,texas,1968,48097,398
cooke,texas,1967,48097,0
cooke,texas,1966,48097,58
cooke,texas,1965,48097,515
cooke,texas,1964,48097,520
cooke,texas,1963,48097,234
cooke,texas,1962,48097,399
cooke,texas,1961,48097,412
cooke,texas,1960,48097,350
