FIPS Code ,State ,Area name    ,Attribute                                                    ,Value       ,Year
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 1970"    ,25.5        ,1970
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 1980"    ,31.7        ,1980
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 1990"    ,37.2        ,1990
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 2000"    ,41.4        ,2000
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 2008-12" ,44.76942123 ,2010
    40085 ,OK    ,Love County  ,"Percent of adults with a high school diploma only, 2018-22" ,36.92921531 ,2020
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 1970"    ,27.2        ,1970
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 1980"    ,29.0        ,1980
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 1990"    ,30.4        ,1990
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 2000"    ,31.5        ,2000
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 2008-12" ,32.03461477 ,2010
    48097 ,TX    ,Cooke County ,"Percent of adults with a high school diploma only, 2018-22" ,31.33492086 ,2020
