,6708,6709,6710,7923,7924,7925
GeoFIPS,40085.0,40085.0,40085.0,48097.0,48097.0,48097.0
GeoName,"Love, OK","Love, OK","Love, OK","Cooke, TX","Cooke, TX","Cooke, TX"
Region,6,6,6,6,6,6
TableName,CAINC1,CAINC1,CAINC1,CAINC1,CAINC1,CAINC1
LineCode,1.0,2.0,3.0,1.0,2.0,3.0
IndustryClassification,...,...,...,...,...,...
Description,Personal income (thousands of dollars) ,Population (persons) 1/,Per capita personal income (dollars) 2/,Personal income (thousands of dollars) ,Population (persons) 1/,Per capita personal income (dollars) 2/
Unit,Thousands of dollars,Number of persons,Dollars,Thousands of dollars,Number of persons,Dollars
1969,14272,6037,2364,71203,23231,3065
1970,15416,5668,2720,78854,23501,3355
1971,17787,5923,3003,84420,23967,3522
1972,18863,6220,3033,95122,24142,3940
1973,23202,6415,3617,111355,24546,4537
1974,25170,6624,3800,123176,25274,4874
1975,29159,6877,4240,142348,25710,5537
1976,33384,7171,4655,155087,25739,6025
1977,35155,7248,4850,171160,25622,6680
1978,40060,7320,5473,201743,25791,7822
1979,48915,7544,6484,229634,26638,8621
1980,59231,7467,7932,259229,27828,9315
1981,67574,7447,9074,298025,28438,10480
1982,75640,7862,9621,326866,28894,11313
1983,79556,8113,9806,337717,29028,11634
1984,81695,8107,10077,365478,29174,12528
1985,85153,8088,10528,384561,29397,13082
1986,90033,8129,11076,390709,29623,13189
1987,88348,8222,10745,393842,30536,12898
1988,95177,8077,11784,411877,30689,13421
1989,98895,8250,11987,439217,30051,14616
1990,109096,7788,14008,458956,31014,14798
1991,116806,7921,14746,467883,30912,15136
1992,129362,8066,16038,490823,31509,15577
1993,125765,8095,15536,514222,31666,16239
1994,128361,8329,15411,546001,32347,16879
1995,128186,8462,15148,585604,33034,17727
1996,133620,8706,15348,632197,33797,18706
1997,141281,8716,16209,697100,34771,20048
1998,144217,8724,16531,739694,35122,21061
1999,154509,8806,17546,799549,35883,22282
2000,167093,8826,18932,879257,36433,24134
2001,189698,8749,21682,915321,36844,24843
2002,201637,8836,22820,929814,37390,24868
2003,206208,8916,23128,993077,37598,26413
2004,211966,9044,23437,1032125,37815,27294
2005,224487,9159,24510,1124717,38143,29487
2006,238228,9207,25875,1247098,38241,32612
2007,251962,9252,27233,1326556,38252,34679
2008,269286,9291,28984,1579820,38223,41332
2009,268765,9340,28776,1413984,38413,36810
2010,284329,9409,30219,1527633,38489,39690
2011,302642,9376,32278,1659724,38487,43124
2012,303608,9556,31771,1777233,38793,45813
2013,318126,9677,32874,1891673,38556,49063
2014,342291,9708,35259,2033332,38892,52281
2015,352055,9774,36020,1909188,39328,48545
2016,359923,9984,36050,1808613,39512,45774
2017,362227,10029,36118,1989897,40111,49610
2018,382438,10042,38084,2061588,40674,50686
2019,397776,10100,39384,2160693,41346,52259
2020,423183,10159,41656,2262367,41744,54196
2021,448846,10244,43816,2500159,42408,58955
2022,443076,10218,43362,2629184,43050,61073
