Address                                                               ,latitude,longitude,fips_codes
310 Bayview Blvd Klawock AK 99925                                     ,55.558551864215524,-133.09816532837021,['02198']
8th and Waterfront Metlakatla AK 99926                                ,,,
303 Poarch Rd Atmore AL 36502                                         ,,,
1801 Eddie L Tullis Rd Montgomery AL 36117                            ,32.425383,-86.1392198,"['01001', '01051', '01087', '01101', '01041', '01021', '01037', '01085', '01011', '01109', '01123']"
100 River Oaks Dr Wetumpka AL 36092                                   ,32.5271229,-86.21006333574087,"['01001', '01051', '01087', '01101', '01021', '01037', '01085', '01011', '01123']"
15406 N Maricopa Rd Maricopa AZ 85139                                 ,33.02299395,-112.04988984298828,"['04013', '04021']"
15318 S Avenue B Somerton AZ 85350                                    ,32.6186616,-114.6496882,"['06025', '04027', '04012']"
11300 Resort Dr Parker AZ 85344                                       ,,,
10438 Wekopa Way Fort McDowell AZ 85264                               ,,,
8555 AZ-95 Mohave Valley AZ 86440                                     ,34.90746005126062,-114.59800485118389,"['32003', '04015', '06071']"
6443 North Komatke Lane Laveen Arizona 85339                          ,,,
5040 Wild Horse Pass Blvd Chandler AZ 85226                           ,,,
1077 S Kyrene Rd Chandler AZ 85226                                    ,33.3191052,-111.9454993,"['04013', '04021']"
22181 Resort Blvd Flagstaff AZ 86004                                  ,,,
5655 W Valencia Rd Tucson AZ 85757                                    ,32.1339052,-110.990759,"['04023', '04021', '04019']"
7406 S Camino De Oeste Tucson AZ 85746                                ,,,
524 N 92nd St Scottsdale AZ 85256                                     ,33.4768157,-111.8826973,"['04013', '04021']"
9800 Talking Stick Way Scottsdale AZ 85256                            ,33.5408139,-111.86966668693623,"['04013', '04021']"
777 Geronimo Springs Blvd San Carlos AZ 85550                         ,,,
777 Apache Sky Blvd Winkelmam AZ 85192                                ,,,
9431 W Northern Ave Glendale AZ 85305                                 ,33.54668555,-112.2611264748243,"['04013', '04021', '04025']"
Highway 86 Milepost 55 Why AZ 5321                                    ,,,
7350 S Nogales Hwy Tucson AZ 85756                                    ,32.1256815,-110.9611126,"['04023', '04021', '04019']"
1100 W Pima Mine Rd Sahuarita AZ 85629                                ,32.001234,-110.9780074,"['04023', '04019']"
Highway 87 Mile Marker 251 Payson AZ 85541                            ,,,
777 AZ-260 Pinetop AZ 85935                                           ,34.12971953061224,-109.9462642244898,"['04007', '04001', '04017']"
2400 W. Datsi Street Camp Verde AZ 86322                              ,,,
1500 E. Highway 69 Prescott AZ 86301                                  ,,,
1505 AZ-69 Prescott AZ 86301                                          ,34.548172534799406,-112.44628599456163,['04025']
32-250 Bob Hope Dr Rancho Mirage CA 92270                             ,33.814819850000006,-116.40833097632355,"['06073', '06071', '06065']"
32-279 Bob Hope Dr Rancho Mirage CA 92270                             ,33.8151426,-116.4103821,"['06073', '06071', '06065']"
68960 E Palm Canyon Dr Cathedral City CA 92234                        ,33.77888994415348,-116.46071479257007,"['06073', '06071', '06065']"
401 E Amado Rd Palm Springs CA 92262                                  ,33.826751,-116.5238115,"['06073', '06071', '06065']"
901 Co Rd 56 Alturas CA 96101                                         ,,,
84-001 Avenue 54 Coachella CA 92236                                   ,,,
1932 Wildcat Canyon Rd Lakeside CA 92040                              ,32.890957,-116.891342,['06073']
11 Bear Paws Way Loleta CA 95551                                      ,,,
10 Bear Paws Way Loleta CA 95551                                      ,,,
4020 Olive Hwy Oroville CA 95966                                      ,39.5014381,-121.5314695,"['06057', '06115', '06101', '06063', '06011', '06021', '06007']"
37302 Rancheria Ln Auberry CA 93602                                   ,,,
2755 Mission Rancheria Rd Lakeport CA 95453                           ,,,
2742 N Sierra Hwy Bishop CA 93514                                     ,37.3758512,-118.4105953,"['06019', '06051', '06027', '32009']"
Casino Way Blue Lake CA 95525                                         ,,,
777 Casino Way Blue Lake CA 95525                                     ,,,
4640 Coal Mine Rd Ione CA 95640                                       ,,,
84-245 Indio Springs Pkwy Indio CA 92203                              ,33.720646,-116.18474359870595,"['06073', '06025', '06071', '06065']"
3770 CA-45 Colusa CA 95932                                            ,39.255378242480944,-122.03151757817574,"['06115', '06101', '06113', '06011', '06021', '06007']"
52702 CA-371 Anza CA 92539                                            ,,,
1800 Golden Acorn Way Campo CA 91906                                  ,32.7022228,-116.3548245,"['06073', '06025']"
13145 Havasu Lake Rd Needles CA 92363                                 ,,,
27 Scenic Drive Trinidad Ca 95570                                     ,41.05816623625796,-124.13735654176392,"['06023', '06015']"
9100 People of the Mountain Rd Jamestown CA 95327                     ,,,
77 BIA Rd 228 Redwood Valley CA 95470                                 ,,,
3250 CA-128 Geyserville CA 95441                                      ,38.70354065,-122.85842991146819,"['06033', '06045', '06055', '06097', '06041']"
2021 Elk Rnch Rd Crescent City CA 95531                               ,,,
3317 Forty Mile Road Wheatland California 95682                       ,39.0506909,-121.51181263119668,"['06057', '06115', '06101', '06113', '06011', '06061', '06067', '06007']"
288 Golf Course Dr W Rohnert Park CA 94928                            ,,,
139 US-395 Independence CA 93526                                      ,36.80284144897959,-118.19996287755102,"['06019', '06107', '06027']"
635 CA-20 Upper Lake CA 95485                                         ,39.16152566597906,-122.9035952019679,"['06033', '06045', '06097', '06011', '06021']"
12510 CA-96 Hoopa CA 95546                                            ,41.0588961,-123.6845383,"['06023', '06093', '06105', '06015']"
12222 New York Ranch Rd Jackson CA 95642                              ,38.3864424,-120.73378344549431,"['06005', '06009', '06099', '06077', '06109', '06017', '06067']"
14145 Campo Rd Jamul CA 91935                                         ,32.705086507386866,-116.869588883239,['06073']
777 Casino Way Yreka CA 96097                                         ,41.71187185,-122.63141244984305,"['06093', '41029', '06105']"
13255 San Pablo Ave San Pablo CA 94806                                ,37.9524169,-122.3345221920771,"['06001', '06013', '06081', '06055', '06097', '06095', '06041', '06075']"
22215 Windy Hollow Rd Point Arena CA 95468                            ,38.923563,-123.697321,"['06045', '06097']"
22223 CA-29 Middletown CA 95461                                       ,38.73012902576792,-122.62193927636476,"['06033', '06045', '06055', '06097', '06113', '06011']"
Feather Falls Casino & Lodge 3 Alverda Dr Oroville CA 95966           ,,,
49020 Seminole Dr Cabazon CA 92230                                    ,33.9192362,-116.7829501,"['06071', '06065']"
48540 Morongo Trail Cabazon CA 92230                                  ,,,
49500 Seminole Dr Cabazon CA 92230                                    ,33.9192362,-116.7829501,"['06071', '06065']"
49750 Seminole Dr Cabazon CA 92230                                    ,33.920765599999996,-116.79417949263365,"['06071', '06065']"
11154 CA-76 Pala CA 92059                                             ,33.363134,-117.08473039019958,"['06073', '06065']"
2657 Everett Freeman Way Corning CA 96021                             ,39.8708946,-122.21149493760049,"['06021', '06103', '06007']"
2645 Everett Freeman Way Corning CA 96021                             ,39.87330405,-122.20294475061503,"['06021', '06103', '06007']"
777 Pauma Reservation Rd Pauma Valley CA 92061                        ,33.330124299999994,-116.99121360821334,"['06073', '06065']"
45000 Pechanga Pkwy Temecula CA 92592                                 ,33.4555399,-117.1067578,"['06059', '06073', '06065']"
711 Lucky Ln Coarsegold CA 93614                                      ,,,
20265 Tamarack Ave Burney CA 96013                                    ,40.87628,-121.675274,"['06093', '06089', '06035', '06103', '06049']"
525 Algodones Rd Winterhaven CA 92283                                 ,32.741605750000005,-114.72265918135531,"['06025', '04027', '04012']"
450 Quechan Dr Yuma AZ 85364                                          ,32.734295200000005,-114.61314115785851,"['06025', '04027', '04012']"
2100 Redding Rancheria Rd Redding CA 96001                            ,40.5063738,-122.3796626,"['06089', '06103', '06105']"
777 S Resort Dr Valley Center CA 92082                                ,,,
1545 CA-20 Nice CA 95464                                              ,39.122077,-122.8408747,"['06033', '06045', '06097', '06011', '06021']"
76700 Covelo Rd Covelo CA 95428                                       ,39.739449,-123.259897,"['06023', '06033', '06045', '06021', '06103', '06105']"
16300 Nyemii Pass Rd Valley Center CA 92082                           ,,,
17225 Jersey Ave Lemoore CA 93245                                     ,,,
3400 CA-246 Santa Ynez CA 93460                                       ,34.60979402702703,-120.08701927027028,"['06079', '06083']"
100 Kawi Pl Willits CA 95490                                          ,39.39293515,-123.36279330995276,"['06033', '06045']"
1 Red Hawk Pkwy Placerville CA 95667                                  ,38.6966,-120.9077,"['06005', '06057', '06009', '06077', '06061', '06017', '06067']"
22777 Soboba Rd San Jacinto CA 92583                                  ,33.796501523620094,-116.92877180662457,"['06073', '06071', '06065']"
900 Skyline Rd Susanville CA 96130                                    ,40.430568050000005,-120.65759315378895,"['06063', '06035']"
5469 Casino Way El Cajon CA 92019                                     ,32.785800050000006,-116.82932411885754,['06073']
777 Jackpot Lane Friant CA 93626                                      ,,,
350 N Indian Rd Smith River CA 95567                                  ,,,
3089 Norm Niver Rd Thermal CA 92274                                   ,,,
1850 West St Porterville CA 93257                                     ,36.03115830612245,-119.0767322244898,"['06107', '06029']"
19400 Tuolumne Rd N Tuolumne CA 95379                                 ,37.9735756,-120.2387063,"['06047', '06009', '06043', '06099', '06109']"
73829 Baseline Rd Twentynine Palms CA 92277                           ,34.12111932955288,-116.0511209334315,"['06071', '06065']"
1200 Athens Ave Lincoln CA 95648                                      ,38.8403664,-121.31373658725462,"['06057', '06115', '06101', '06113', '06061', '06017', '06067']"
5000 Willows Rd Alpine CA 91901                                       ,32.84226475,-116.70578495635328,['06073']
1 Sky River Pkwy Elk Grove CA 95757                                   ,38.38033865,-121.36938238436278,"['06005', '06013', '06101', '06113', '06009', '06095', '06077', '06061', '06017', '06067']"
14455 CA-16 Brooks CA 95606                                           ,38.7365093,-122.1430966,"['06033', '06055', '06101', '06113', '06095', '06011']"
777 San Manuel Blvd S Highland CA 92346                               ,34.15068035,-117.22940545314115,"['06071', '06065']"
171 Klamath Blvd Klamath CA 95548                                     ,41.5294502,-124.03931219250586,"['06023', '06093', '06015']"
14324 CO-172 Ignacio CO 81137                                         ,37.1216081,-107.6341667,"['35039', '35045', '08053', '08007', '08067']"
3 Weeminuche Dr Towaoc CO 81334                                       ,37.2046236,-108.6853093,"['08083', '35045', '04001', '08033', '49037', '08067']"
350 Trolley Line Blvd Mashantucket CT 06338                           ,41.4717228,-71.9576205,"['36103', '09007', '09011', '44009', '44007', '09013', '44003', '09015']"
1 Mohegan Sun Blvd Uncasville CT 06382                                ,41.49236055,-72.08971323978389,"['36103', '09007', '09011', '44009', '44007', '09013', '44003', '09015', '09003']"
500 SW 177th Ave Miami FL 33194                                       ,25.7634818,-80.48456225449016,"['12086', '12087', '12021', '12011']"
5223 Orient Rd Tampa FL 33610                                         ,27.9627994,-82.3729934,"['12057', '12105', '12101', '12081', '12103']"
17735 Reservation Rd Okeechobee FL 34974                              ,,,
5550 NW 40th St Coconut Creek FL 33073                                ,26.278344346753748,-80.19955750019322,"['12086', '12099', '12011']"
506 S 1st St Immokalee FL 34142                                       ,26.425519,-81.417559,"['12071', '12021', '12051', '12015', '12043']"
1 Seminole Way Hollywood FL 33314                                     ,26.0530739,-80.2077538,"['12086', '12099', '12011']"
17214 210th St Onawa IA 51040                                         ,,,
1504 305th St Tama IA 52339                                           ,41.99700623665316,-92.66347940749553,"['19083', '19075', '19127', '19171', '19095', '19099', '19157', '19013', '19011']"
1500 330th St Sloan IA 51055                                          ,,,
37914 S Nukwalqw St Worley ID 83876                                   ,,,
7169 Plaza St Bonners Ferry ID 83805                                  ,48.6970607,-116.3087954,"['30053', '16021', '16017']"
17500 Nez Perce Rd Lewiston ID 83501                                  ,,,
419 3rd St Kamiah ID 83536                                            ,46.2305645,-116.0180918,"['16061', '16035', '16069', '16049']"
1103 E County Rd Pocatello ID 83204                                   ,,,
777 Bannock Ave Building B Fort Hall ID 83203                         ,,,
843 North US-91 Blackfoot ID 83221                                    ,43.1997545,-112.3325255,"['16029', '16051', '16019', '16011', '16077', '16005']"
3000 Prairie Ave South Bend IN 46614                                  ,41.644719,-86.291099,"['18099', '18085', '18091', '26159', '26027', '18141', '18149', '18039', '26021']"
777 Jackpot Dr White Cloud KS 66094                                   ,,,
1121 Goldfinch Rd Horton KS 66439                                     ,,,
12305 150th Rd Mayetta KS 66509                                       ,,,
832 Martin Luther King Rd Charenton LA 70523                          ,29.87146518615017,-91.5374768205985,"['22047', '22099', '22045', '22109', '22101', '22007']"
777 Coushatta Dr Kinder LA 70648                                      ,30.54588775,-92.81442419479613,"['22001', '22011', '22053', '22079', '22097', '22115', '22003', '22019', '22039']"
3020 Hina Chata St Suite 2 Jena LA 71342                              ,,,
149 Chahta Trails Dry Prong LA 71423                                  ,,,
711 Paragon Pl Marksville LA 71351                                    ,,,
11386 W Lakeshore Dr Brimley MI 49715                                 ,46.422646799999995,-84.60206142441425,"['26033', '26097']"
7741 M-72 Williamsburg MI 49690                                       ,44.774023650000004,-85.42179215258386,"['26055', '26089', '26165', '26079', '26019', '26009', '26029', '26113']"
2521 N West Bay Shore Dr Peshawbestown MI 49682                       ,,,
W 399 US-2 Harris MI 49845                                            ,45.702944349999996,-87.3374138652576,"['26041', '26103', '26043', '26109']"
16449 Michigan Avenue Baraga MI 49908-9209                            ,,,
105 Acre Trail Marquette MI 49855                                     ,46.47930926530612,-87.2426432244898,"['26041', '26103', '26003']"
N5384 US-45 Watersmeet MI 49969                                       ,46.2767826,-89.1776948,"['26053', '26071', '55085', '26061', '26131', '55125', '55041']"
2700 Orchard Hwy Manistee MI 49660                                    ,44.2858293,-86.2469730672838,"['26165', '26019', '26101', '26105', '26085']"
1080 S Nicolet St Mackinaw City MI 49701                              ,45.76761021428571,-84.73197174489796,"['26033', '26097', '26031', '26047']"
1760 Lears Rd Petoskey MI 49770                                       ,,,
1123 129th Ave Wayland MI 49348                                       ,42.6303661,-85.6612775,"['26015', '26159', '26077', '26067', '26005', '26025', '26081', '26139']"
11177 E Michigan Ave Battle Creek MI 49014                            ,42.3133591,-85.1695841,"['26015', '26023', '26149', '26045', '26077', '26005', '26025', '26059']"
58700 M-51 S Dowagiac MI 49047                                        ,,,
68600 Red Arrow Hwy Hartford MI 49057                                 ,42.19891788888889,-86.21155291919192,"['26159', '26027', '26005', '26021']"
11111 Wilson Rd New Buffalo MI 49117                                  ,41.770101715447154,-86.72216945528454,"['18099', '18091', '18141', '18149', '18127', '26021']"
6800 Soaring Eagle Blvd Mt Pleasant MI 48858                          ,43.60840435,-84.71299056472051,"['26051', '26133', '26035', '26117', '26073', '26057', '26111', '26145', '26107']"
2690 Worth Rd Standish MI 48658                                       ,43.9248331,-83.9499025,"['26051', '26017', '26011', '26069', '26111', '26129', '26145', '26157']"
N 3 Mile Rd Hessel MI 49745                                           ,,,
2186 Shunk Rd.Sault Ste. Marie MI 49783                               ,46.4748054,-84.32525625930596,"['26033', '26097']"
5630 W US-2 Manistique MI 49854                                       ,,,
3015 Mackinac Trail St Ignace MI 49781                                ,45.9290336,-84.7327477,"['26033', '26097', '26031', '26047']"
N7761 Candy Cane Ln Christmas MI 49862                                ,,,
1430 Bois Forte Rd Tower MN 55790                                     ,,,
1785 MN-210 Carlton MN 55718                                          ,46.6658247,-92.47807272887306,"['27137', '55031', '27017', '27115']"
129 E Superior St Duluth MN 55802                                     ,46.7888757,-92.0962346,"['27075', '27137', '55031', '27017', '27115']"
70 Casino Dr Grand Portage MN 55605                                   ,47.9539145,-89.69189543914197,['27031']
4 County Rd 8 NE Bena MN 56626                                        ,,,
6268 Upper Cass Frontage Rd NW Cass Lake MN 56633                     ,47.38312515696752,-94.61721578216581,"['27061', '27021', '27057', '27007']"
7114 Shingobee Rd NW Walker MN 56484                                  ,,,
45830 US-2 Deer River MN 56636                                        ,47.3343255,-93.7968975,"['27061', '27021', '27001']"
6800 Y Frontage Rd NW Walker MN 56484                                 ,,,
39375 County Rd 24 Morton MN 56270                                    ,,,
