Address                                            ,latitude           ,longitude           ,fips_codes_30_mile                                                                                                               ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
310 Bayview Blvd Klawock AK 99925                  ,55.55855186421552,-133.0981653283702,['02198']                                                                                                                        ,"['02275', '02130', '02195']",Klawock Cooperative Association                                                       ,0.0,65,     2020 ,                 ,               ,1.0,          ,1,AK,Klawock Bingo
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,"['02130', '02198']                                                                                                             ",['02275'],Metlakatla Indian Community Annette Island Reservation                                ,0.0,90,     2006 ,            6000 ,               ,1.0,          ,2,AK,MIC Gaming Casino
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,"['01035', '12033', '12113', '01053', '01003', '01099', '01025']                                                                ","['01061', '01065', '28041', '01129', '28131', '28111', '01013', '01105', '01109', '01097', '01041', '01101', '28023', '01119', '12131', '28039', '01023', '01063', '01039', '12091', '01047', '01085', '28153', '28059', '01031', '12059', '01131', '01001', '01091']",Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
1801 Eddie L Tullis Rd Montgomery AL 36117         ,32.425383,-86.1392198,"['01001', '01051', '01087', '01101', '01041', '01021', '01037', '01085', '01011', '01109', '01123']                            ","['01061', '01065', '01005', '01113', '01015', '01029', '01115', '13199', '01069', '13061', '01035', '01027', '01121', '01013', '01105', '01007', '01111', '01117', '13053', '01053', '13215', '01067', '13149', '01099', '13145', '13239', '12131', '01081', '13077', '13045', '13259', '01073', '01045', '01125', '01039', '01017', '01009', '01047', '13285', '13099', '01055', '01031', '12059', '01131', '13243', '01091']",Poarch Band of Creek Indians                                                          ,70000.0,2200,     2015 ,           90000 ,               ,202.2320611,  46000000,4,AL,Wind Creek Casino and Hotel - Montgomery
100 River Oaks Dr Wetumpka AL 36092                ,32.5271229,-86.21006333574087,"['01001', '01051', '01087', '01101', '01021', '01037', '01085', '01011', '01123']                                              ","['01061', '01065', '01005', '01113', '01015', '01029', '01115', '13199', '01069', '13061', '01035', '01027', '01121', '01013', '01105', '01109', '01007', '01111', '01117', '13053', '01053', '01041', '13215', '01067', '13149', '01099', '13145', '13239', '13143', '01081', '13045', '13259', '01073', '01045', '01127', '01125', '01039', '01017', '01009', '01047', '13285', '01055', '01031', '01131', '13243', '01091']",Poarch Band of Creek Indians                                                          ,70000.0,2650,     2014 ,          125000 ,               ,243.5977099, 250000000,5,AL,Wind Creek Casino and Hotel - Wetumpka
15406 N Maricopa Rd Maricopa AZ 85139              ,33.02299395,-112.04988984298828,"['04013', '04021']                                                                                                             ","['04025', '04012', '04027', '04019', '04007']",Ak-Chin Indian Community of the Maricopa Indian Reservation                           ,,1135,     1994 ,           40000 ,          2011 ,150.0, 162084640,6,AZ,Harrah's Ak-Chin Casino Resort
15318 S Avenue B Somerton AZ 85350                 ,32.6186616,-114.6496882,"['06025', '04027', '04012']                                                                                                    ","['06065', '04019', '04013']",Cocopah Tribe of Arizona                                                              ,,400,     1993 ,           24000 ,          2003 ,50.8,  15000000,7,AZ,Cocopah Bingo and Casino
100 W Riverside Dr Parker AZ 85344                 ,34.1525717,-114.2840198,"['04015', '06071', '06065', '04012']                                                                                           ","['06025', '04025', '04027', '32003', '04013']",Colorado River Indian Tribes of the Colorado River Indian Reservation (AZ and CA)     ,,500,     1999 ,           30000 ,               ,29.2,  50000000,8,AZ,Blue Water Casino
10180 N Fort McDowell Rd Fort McDowell AZ 85264    ,33.628925,-111.6762303,"['04013', '04007', '04021', '04025']                                                                                           ","['04017', '04009', '04019', '04005']",Fort McDowell Yavapai Nation of Arizona                                               ,,1100,     1984 ,          166341 ,          2020 ,11.8, 120000000,9,AZ,We-Ko-Pa Casino Resort
8555 AZ-95 Mohave Valley AZ 86440                  ,34.90746005126062,-114.59800485118387,"['32003', '04015', '06071']                                                                                                    ","['04025', '06027', '04012', '04005', '06065']",Fort Mojave Indian Tribe                                                              ,,250,     1995 ,           10000 ,               ,14.0,          ,10,AZ,Spirit Mountain Casino
