Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40145,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40091,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,29209,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20001,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20133,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,5033,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,5015,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20003,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20049,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,29043,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40143,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20031,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,5047,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40147,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40135,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20125,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,29057,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40021,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40061,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,20207,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40111,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
530 H St SE Miami OK 74354                         ,36.86728441423413,-94.8691002805972,40105,Modoc Nation of Oklahoma                                                              ,,500,1998,           70000 ,               ,2.765,          ,352,OK,The Stables Casino
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40113,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40001,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40133,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40037,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,5083,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40123,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,5127,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
830 N Broadway St Checotah OK 74426                ,35.478176100142825,-95.52168337541153,40063,Muscogee (Creek) Nation                                                               ,5370.0,320,1989,           12000 ,               ,11.73660585,          ,353,OK,Creek Nation Casino - Checotah
