Address                                            ,latitude           ,longitude           ,casino_control_counties,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
310 Bayview Blvd Klawock AK 99925                  ,55.55855186421552,-133.0981653283702,2275,Klawock Cooperative Association                                                       ,0.0,65,     2020 ,                 ,               ,1.0,          ,1,AK,Klawock Bingo
310 Bayview Blvd Klawock AK 99925                  ,55.55855186421552,-133.0981653283702,2130,Klawock Cooperative Association                                                       ,0.0,65,     2020 ,                 ,               ,1.0,          ,1,AK,Klawock Bingo
310 Bayview Blvd Klawock AK 99925                  ,55.55855186421552,-133.0981653283702,2195,Klawock Cooperative Association                                                       ,0.0,65,     2020 ,                 ,               ,1.0,          ,1,AK,Klawock Bingo
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,2275,Metlakatla Indian Community Annette Island Reservation                                ,0.0,90,     2006 ,            6000 ,               ,1.0,          ,2,AK,MIC Gaming Casino
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1061,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1065,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,28041,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1129,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,28131,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,28111,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1013,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1105,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1109,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1097,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1041,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1101,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,28023,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1119,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,12131,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,28039,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1023,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1063,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1039,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore
