Address_2                                          ,State ,Casino_Name                                                 ,Lat 2nd Run ,Long 2nd Run ,fips_codes
310 Bayview Blvd Klawock AK 99925                  ,AK    ,Klawock Bingo                                               ,55.55855186 ,-133.0981653 ,['02198']
Western Ave Metlakatla AK 99926                    ,AK    ,MIC Gaming Casino                                           ,55.1278099  ,-131.5837248 ,"['02130', '02198']"
6450 AL-21 Atmore AL 36502                         ,AL    ,Wind Creek Casino and Hotel - Atmore                        ,31.11228635 ,-87.47290406 ,"['01035', '12033', '12113', '01053', '01003', '01099', '01025']"
1801 Eddie L Tullis Rd Montgomery AL 36117         ,AL    ,Wind Creek Casino and Hotel - Montgomery                    ,32.425383   ,-86.1392198  ,"['01001', '01051', '01087', '01101', '01041', '01021', '01037', '01085', '01011', '01109', '01123']"
100 River Oaks Dr Wetumpka AL 36092                ,AL    ,Wind Creek Casino and Hotel - Wetumpka                      ,32.5271229  ,-86.21006334 ,"['01001', '01051', '01087', '01101', '01021', '01037', '01085', '01011', '01123']"
15406 N Maricopa Rd Maricopa AZ 85139              ,AZ    ,Harrah's Ak-Chin Casino Resort                              ,33.02299395 ,-112.0498898 ,"['04013', '04021']"
15318 S Avenue B Somerton AZ 85350                 ,AZ    ,Cocopah Bingo and Casino                                    ,32.6186616  ,-114.6496882 ,"['06025', '04027', '04012']"
100 W Riverside Dr Parker AZ 85344                 ,AZ    ,Blue Water Casino                                           ,34.1525717  ,-114.2840198 ,"['04015', '06071', '06065', '04012']"
10180 N Fort McDowell Rd Fort McDowell AZ 85264    ,AZ    ,We-Ko-Pa Casino Resort                                      ,33.628925   ,-111.6762303 ,"['04013', '04007', '04021', '04025']"
8555 AZ-95 Mohave Valley AZ 86440                  ,AZ    ,Spirit Mountain Casino                                      ,34.90746005 ,-114.5980049 ,"['32003', '04015', '06071']"
6443 South Komatke Lane                            ,AZ    ,Vee Quiva Casino                                            ,33.3114539  ,-112.1606291 ,"['04013', '04021']"
Chandler AZ 85226                                  ,AZ    ,Wild Horse Pass Casino                                      ,33.3062031  ,-111.841185  ,"['04013', '04021']"
1077 S Kyrene Rd Chandler AZ 85226                 ,AZ    ,Lone Butte Casino                                           ,33.3191052  ,-111.9454993 ,"['04013', '04021']"
Flagstaff AZ 86004                                 ,AZ    ,Twin Arrows Navajo Casino Resort                            ,35.1987522  ,-111.651822  ,"['04005', '04025']"
5655 W Valencia Rd Tucson AZ 85757                 ,AZ    ,Casino Del Sol                                              ,32.1339052  ,-110.990759  ,"['04023', '04021', '04019']"
Tucson AZ 85757 USA                                ,AZ    ,Casino of the Sun                                           ,32.2228765  ,-110.974847  ,"['04021', '04019']"
524 N 92nd St Scottsdale AZ 85256                  ,AZ    ,Casino Arizona                                              ,33.4768157  ,-111.8826973 ,"['04013', '04021']"
9800 Talking Stick Way Scottsdale AZ 85256         ,AZ    ,Talking Stick Resort                                        ,33.5408139  ,-111.8696667 ,"['04013', '04021']"
2407 E Ash St Globe AZ 85501                       ,AZ    ,Apache Gold Casino                                          ,33.3929981  ,-110.7814202 ,"['04009', '04013', '04007', '04021']"
80440 E Aravaipa Rd Winkelman AZ 85192             ,AZ    ,Apache Sky Casino                                           ,32.8487462  ,-110.7028107 ,"['04009', '04007', '04021', '04019']"
9431 W Northern Ave Glendale AZ 85305              ,AZ    ,Desert Diamond Casino West Valley Si'al Ke                  ,33.54668555 ,-112.2611265 ,"['04013', '04021', '04025']"
Indian Rte 3 Pisinemo AZ 85634                     ,AZ    ,Desert Diamond Why                                          ,31.92252304 ,-112.2141602 ,['04019']
7350 S Nogales Hwy Tucson AZ 85756                 ,AZ    ,Desert Diamond Tucson                                       ,32.1256815  ,-110.9611126 ,"['04023', '04021', '04019']"
