Address                                            ,latitude           ,longitude           ,fips_codes_30_mile                                                                                                               ,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40017,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40031,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40137,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40015,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40051,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
100 Morris Ave Verden OK 73092                     ,35.08576,-98.088965,40087,Kiowa Tribe of Oklahoma                                                               ,,100,2010,           10000 ,          2023 ,4.103846154,          ,349,OK,Kiowa Casino Verden
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,40067,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,40141,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,48485,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,40033,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,40031,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,48009,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,48487,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
198131 OK-36 Devol OK 73531                        ,34.1757532,-98.5727689,48077,Kiowa Tribe of Oklahoma                                                               ,,700,2007,           40000 ,          2009 ,28.72692308,          ,350,OK,Kiowa Casino Red River
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,40041,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,40035,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,29119,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,20021,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,40115,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
509 Henley St Miami OK 74354                       ,36.8681011,-94.8529260005256,29097,Miami Tribe of Oklahoma                                                               ,,242,1994,           11000 ,          2012 ,2.626,          ,351,OK,Prairie Moon Casino
