FIPS Code,Year,hs_degree_or_more,no_hs_degree
0,1970,57526047.0,52373312.0
0,1980,88300490.0,44535197.0
0,1990,119524718.0,39343718.0
0,2000,146496014.0,35715625.0
0,2010,175156198.0,29179819.0
0,2017,202001294.0,24599698.0
1000,1970,746492.0,1062306.0
1000,1980,1252475.0,964840.0
1000,1990,1702331.0,843638.0
1000,2000,2173319.0,714081.0
1000,2010,2615394.0,551030.0
1000,2017,3007340.0,421180.0
1001,1970,5457.0,6611.0
1001,1980,10366.0,7074.0
1001,1990,14609.0,6252.0
1001,2000,21717.0,5872.0
1001,2010,29912.0,5232.0
1001,2017,36331.0,3857.0
1003,1970,12798.0,18726.0
1003,1980,27480.0,18125.0
1003,1990,47314.0,17309.0
1003,2000,78752.0,17258.0
1003,2010,112479.0,14792.0
1003,2017,152991.0,14031.0
1005,1970,3684.0,8120.0
1005,1980,6333.0,7759.0
1005,1990,8737.0,6965.0
1005,2000,12217.0,6679.0
1005,2010,13969.0,5013.0
1005,2017,13520.0,4155.0
1007,1970,1942.0,5272.0
1007,1980,3580.0,5254.0
1007,1990,5215.0,4850.0
1007,2000,8556.0,4984.0
1007,2010,11816.0,3702.0
1007,2017,12559.0,3366.0
1009,1970,4470.0,10677.0
1009,1980,9974.0,11666.0
1009,1990,15281.0,9960.0
1009,2000,23742.0,9960.0
1009,2010,29284.0,9419.0
1009,2017,33370.0,7447.0
1011,1970,1577.0,4245.0
1011,1980,2414.0,3473.0
1011,1990,3299.0,3428.0
1011,2000,4578.0,2992.0
1011,2010,5326.0,2249.0
1011,2017,5251.0,1905.0
1013,1970,3499.0,8353.0
1013,1980,5680.0,6929.0
1013,1990,7116.0,6374.0
1013,2000,9328.0,4439.0
1013,2010,10740.0,3341.0
1013,2017,11620.0,1646.0
1015,1970,21548.0,30535.0
1015,1980,37073.0,28268.0
1015,1990,48812.0,23633.0
1015,2000,54697.0,19318.0
1015,2010,61700.0,16603.0
1015,2017,67148.0,11783.0
1017,1970,6590.0,13616.0
1017,1980,10492.0,12616.0
1017,1990,12848.0,10833.0
1017,2000,15719.0,8778.0
1017,2010,17427.0,6194.0
1017,2017,20619.0,4087.0
1019,1970,2647.0,6126.0
1019,1980,4855.0,6372.0
1019,1990,6924.0,6030.0
1019,2000,10687.0,6138.0
1019,2010,14262.0,4241.0
1019,2017,15175.0,3348.0
1021,1970,3758.0,10285.0
1021,1980,8254.0,9678.0
1021,1990,11758.0,9023.0
1021,2000,17145.0,8757.0
1021,2010,21922.0,7023.0
1021,2017,25149.0,5460.0
1023,1970,2662.0,5720.0
1023,1980,4112.0,5095.0
1023,1990,5324.0,4482.0
1023,2000,6865.0,3704.0
1023,2010,7129.0,2488.0
1023,2017,7458.0,1594.0
1025,1970,5023.0,8459.0
1025,1980,7450.0,7627.0
1025,1990,9814.0,6471.0
1025,2000,12537.0,5165.0
1025,2010,13498.0,3716.0
1025,2017,13035.0,2980.0
1027,1970,2375.0,4784.0
1027,1980,3752.0,4301.0
1027,1990,4660.0,3999.0
1027,2000,6445.0,3322.0
1027,2010,7174.0,2499.0
1027,2017,8378.0,1675.0
1029,1970,1632.0,4431.0
1029,1980,2847.0,4578.0
1029,1990,4033.0,4068.0
1029,2000,5997.0,3536.0
1029,2010,7551.0,2622.0
1029,2017,8775.0,1855.0
1031,1970,7233.0,10790.0
1031,1980,12840.0,9836.0
1031,1990,17452.0,8522.0
1031,2000,21130.0,7755.0
1031,2010,27317.0,6092.0
1031,2017,31665.0,4891.0
1033,1970,11691.0,15050.0
1033,1980,18000.0,14231.0
1033,1990,22359.0,11952.0
1033,2000,27412.0,9972.0
1033,2010,31647.0,6289.0
1033,2017,35274.0,5561.0
1035,1970,2383.0,5889.0
1035,1980,3839.0,5197.0
1035,1990,4720.0,4242.0
1035,2000,6246.0,2984.0
1035,2010,6766.0,2164.0
1035,2017,7496.0,886.0
1037,1970,1725.0,3983.0
1037,1980,2866.0,3780.0
1037,1990,3869.0,3315.0
1037,2000,5424.0,2831.0
1037,2010,6179.0,1974.0
1037,2017,6720.0,1329.0
1039,1970,6265.0,13470.0
1039,1980,10145.0,12771.0
1039,1990,13802.0,10288.0
1039,2000,17590.0,8115.0
1039,2010,20274.0,5936.0
1039,2017,22680.0,3767.0
1041,1970,1976.0,5595.0
1041,1980,3187.0,5285.0
1041,1990,4511.0,4286.0
1041,2000,5568.0,3700.0
1041,2010,7232.0,2245.0
1041,2017,7508.0,1640.0
1043,1970,8762.0,20137.0
1043,1980,17146.0,19635.0
1043,1990,25816.0,18093.0
1043,2000,36465.0,15322.0
1043,2010,43277.0,11642.0
1043,2017,52054.0,9466.0
1045,1970,11680.0,9412.0
1045,1980,16154.0,8736.0
1045,1990,21722.0,7536.0
1045,2000,24414.0,6976.0
1045,2010,27802.0,5218.0
1045,2017,28857.0,4830.0
1047,1970,10905.0,15421.0
1047,1980,15430.0,13407.0
1047,1990,16932.0,11488.0
1047,2000,20218.0,8524.0
1047,2010,21025.0,6884.0
1047,2017,22167.0,3817.0
1049,1970,6598.0,17375.0
1049,1980,13632.0,18316.0
1049,1990,18819.0,16665.0
1049,2000,27271.0,15469.0
1049,2010,33030.0,13811.0
1049,2017,37608.0,10777.0
1051,1970,6785.0,11066.0
1051,1980,14458.0,10585.0
1051,1990,20914.0,10518.0
1051,2000,33498.0,9679.0
1051,2010,45761.0,7329.0
1051,2017,54054.0,6992.0
1053,1970,6443.0,12205.0
1053,1980,11181.0,10842.0
1053,1990,13490.0,9037.0
1053,2000,17480.0,8030.0
1053,2010,19722.0,6508.0
1053,2017,20946.0,4515.0
1055,1970,21526.0,31249.0
1055,1980,33888.0,27842.0
1055,1990,42084.0,23588.0
1055,2000,51714.0,18115.0
1055,2010,58345.0,13038.0
1055,2017,62621.0,10094.0
1057,1970,2841.0,6552.0
1057,1980,4898.0,6340.0
1057,1990,6612.0,5060.0
1057,2000,8314.0,4265.0
1057,2010,9130.0,2916.0
1057,2017,9570.0,1858.0
1059,1970,4438.0,9158.0
1059,1980,7742.0,9431.0
1059,1990,10080.0,8212.0
1059,2000,12956.0,7904.0
1059,2010,15383.0,5671.0
1059,2017,17102.0,4249.0
1061,1970,3961.0,8446.0
1061,1980,6657.0,7816.0
1061,1990,8579.0,6896.0
1061,2000,11542.0,6046.0
1061,2010,14106.0,4631.0
1061,2017,15831.0,3151.0
1063,1970,1423.0,3879.0
1063,1980,2317.0,3488.0
1063,1990,3183.0,2734.0
1063,2000,4022.0,2182.0
1063,2010,4509.0,1457.0
1063,2017,4462.0,987.0
1065,1970,2022.0,5803.0
1065,1980,3217.0,5207.0
1065,1990,5026.0,4218.0
1065,2000,6908.0,3683.0
1065,2010,7654.0,2809.0
1065,2017,8041.0,1939.0
1067,1970,2158.0,5087.0
1067,1980,3962.0,5051.0
1067,1990,5811.0,4121.0
1067,2000,7313.0,3654.0
1067,2010,9549.0,2532.0
1067,2017,10241.0,2320.0
1069,1970,12959.0,17385.0
1069,1980,24936.0,17844.0
1069,1990,34928.0,16226.0
1069,2000,44900.0,13771.0
1069,2010,56801.0,11414.0
1069,2017,64829.0,9164.0
1071,1970,6069.0,15217.0
1071,1980,14132.0,15423.0
1071,1990,17915.0,12932.0
1071,2000,24429.0,12006.0
1071,2010,27870.0,9316.0
1071,2017,31028.0,6795.0
1073,1970,167665.0,186882.0
1073,1980,259492.0,141531.0
1073,1990,314383.0,111325.0
1073,2000,351208.0,82950.0
1073,2010,383484.0,56047.0
1073,2017,416442.0,40868.0
1075,1970,2156.0,6105.0
1075,1980,4208.0,5583.0
1075,1990,5393.0,4802.0
1075,2000,6999.0,3759.0
1075,2010,7799.0,2427.0
1075,2017,8120.0,1774.0
1077,1970,16049.0,20423.0
1077,1980,26714.0,19666.0
1077,1990,34916.0,16520.0
1077,2000,44979.0,13915.0
1077,2010,52171.0,10497.0
1077,2017,57325.0,7239.0
1079,1970,3928.0,9757.0
1079,1980,7162.0,9514.0
1079,1990,10835.0,8663.0
1079,2000,15022.0,7872.0
1079,2010,18142.0,5132.0
1079,2017,19408.0,4070.0
1081,1970,12817.0,13597.0
1081,1980,22349.0,13621.0
1081,1990,33305.0,12179.0
1081,2000,50613.0,11557.0
1081,2010,69157.0,11229.0
1081,2017,98209.0,8875.0
1083,1970,7959.0,13226.0
1083,1980,13197.0,12837.0
1083,1990,22016.0,12856.0
1083,2000,32375.0,11081.0
1083,2010,46056.0,10757.0
1083,2017,63807.0,9260.0
1085,1970,1466.0,4077.0
1085,1980,2683.0,3629.0
1085,1990,3935.0,3007.0
1085,2000,5258.0,2925.0
1085,2010,5660.0,1769.0
1085,2017,5862.0,1173.0
1087,1970,4792.0,7510.0
1087,1980,7569.0,6380.0
1087,1990,8523.0,5236.0
1087,2000,9767.0,4188.0
1087,2010,10275.0,2640.0
1087,2017,9827.0,2053.0
1089,1970,58081.0,34090.0
1089,1980,77154.0,32899.0
1089,1990,122653.0,30211.0
1089,2000,154081.0,26308.0
1089,2010,198061.0,23316.0
1089,2017,246521.0,20784.0
1091,1970,4075.0,7786.0
1091,1980,6629.0,7127.0
1091,1990,8625.0,5425.0
1091,2000,10306.0,4020.0
1091,2010,11675.0,2386.0
1091,2017,11581.0,1416.0
1093,1970,3869.0,9771.0
