Address_2                                          ,Lat 2nd Run ,Long 2nd Run ,fips_codes,Tribe Name                                                                            ,Game Class Type                       ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost,State,Casino_Name
310 Bayview Blvd Klawock AK 99925                  ,55.55855186,-133.0981653,['02198'],Klawock Cooperative Association                                                       ,Class II                              ,65,     2020 ,                 ,               ,1.0,          ,AK,Klawock Bingo
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,"['02130', '02198']",Metlakatla Indian Community Annette Island Reservation                                ,Class II                              ,90,     2006 ,            6000 ,               ,1.0,          ,AK,MIC Gaming Casino
6450 AL-21 Atmore AL 36502                         ,31.11228635,-87.47290406,"['01035', '12033', '12113', '01053', '01003', '01099', '01025']",Poarch Band of Creek Indians                                                          ,Class II                              ,1700,     2009 ,           57000 ,               ,156.270229, 245000000,AL,Wind Creek Casino and Hotel - Atmore
1801 Eddie L Tullis Rd Montgomery AL 36117         ,32.425383,-86.1392198,"['01001', '01051', '01087', '01101', '01041', '01021', '01037', '01085', '01011', '01109', '01123']",Poarch Band of Creek Indians                                                          ,Class II                              ,2200,     2015 ,           90000 ,               ,202.2320611,  46000000,AL,Wind Creek Casino and Hotel - Montgomery
100 River Oaks Dr Wetumpka AL 36092                ,32.5271229,-86.21006334,"['01001', '01051', '01087', '01101', '01021', '01037', '01085', '01011', '01123']",Poarch Band of Creek Indians                                                          ,Class II                              ,2650,     2014 ,          125000 ,               ,243.5977099, 250000000,AL,Wind Creek Casino and Hotel - Wetumpka
15406 N Maricopa Rd Maricopa AZ 85139              ,33.02299395,-112.0498898,"['04013', '04021']",Ak-Chin Indian Community of the Maricopa Indian Reservation                           ,Class II & III                        ,1135,     1994 ,           40000 ,          2011 ,150.0, 162084640,AZ,Harrah's Ak-Chin Casino Resort
15318 S Avenue B Somerton AZ 85350                 ,32.6186616,-114.6496882,"['06025', '04027', '04012']",Cocopah Tribe of Arizona                                                              ,Class II & III                        ,400,     1993 ,           24000 ,          2003 ,50.8,  15000000,AZ,Cocopah Bingo and Casino
100 W Riverside Dr Parker AZ 85344                 ,34.1525717,-114.2840198,"['04015', '06071', '06065', '04012']",Colorado River Indian Tribes of the Colorado River Indian Reservation (AZ and CA)     ,Class II & III                        ,500,     1999 ,           30000 ,               ,29.2,  50000000,AZ,Blue Water Casino
10180 N Fort McDowell Rd Fort McDowell AZ 85264    ,33.628925,-111.6762303,"['04013', '04007', '04021', '04025']",Fort McDowell Yavapai Nation of Arizona                                               ,Class II & III                        ,1100,     1984 ,          166341 ,          2020 ,11.8, 120000000,AZ,We-Ko-Pa Casino Resort
8555 AZ-95 Mohave Valley AZ 86440                  ,34.90746005,-114.5980049,"['32003', '04015', '06071']",Fort Mojave Indian Tribe                                                              ,Class III                             ,250,     1995 ,           10000 ,               ,14.0,          ,AZ,Spirit Mountain Casino
6443 South Komatke Lane                            ,33.3114539,-112.1606291,"['04013', '04021']",Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Class II & III                        ,1200,     1995 ,           70000 ,          2013 ,147.36, 135000000,AZ,Vee Quiva Casino
Chandler AZ 85226                                  ,33.3062031,-111.841185,"['04013', '04021']",Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Class II & III                        ,1400,     2009 ,          100000 ,          2020 ,171.92, 480000000,AZ,Wild Horse Pass Casino
1077 S Kyrene Rd Chandler AZ 85226                 ,33.3191052,-111.9454993,"['04013', '04021']",Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Class II & III                        ,1400,     2008 ,          120000 ,          2021 ,171.92, 240000000,AZ,Lone Butte Casino
Flagstaff AZ 86004                                 ,35.1987522,-111.651822,"['04005', '04025']",Navajo Nation                                                                         ,Class II & III                        ,1100,     2013 ,          267000 ,               ,6.2, 175000000,AZ,Twin Arrows Navajo Casino Resort
5655 W Valencia Rd Tucson AZ 85757                 ,32.1339052,-110.990759,"['04023', '04021', '04019']",Pascua Yaqui Tribe of Arizona                                                         ,Class II                              ,1300,     2011 ,           65000 ,          2019 ,73.0, 100000000,AZ,Casino Del Sol
Tucson AZ 85757 USA                                ,32.2228765,-110.974847,"['04021', '04019']",Pascua Yaqui Tribe of Arizona                                                         ,Class III                             ,410,     1994 ,           50000 ,               ,1.0,          ,AZ,Casino of the Sun
524 N 92nd St Scottsdale AZ 85256                  ,33.4768157,-111.8826973,"['04013', '04021']",Salt River Pima-Maricopa Indian Community                                             ,Class II & III                        ,998,     1998 ,          100000 ,               ,1.7,          ,AZ,Casino Arizona
9800 Talking Stick Way Scottsdale AZ 85256         ,33.5408139,-111.8696667,"['04013', '04021']",Salt River Pima-Maricopa Indian Community                                             ,Class II & III                        ,850,     2010 ,           98000 ,               ,190.5, 450000000,AZ,Talking Stick Resort
2407 E Ash St Globe AZ 85501                       ,33.3929981,-110.7814202,"['04009', '04013', '04007', '04021']",San Carlos Apache Tribe of the San Carlos Reservation                                 ,Class II & III                        ,482,     1994 ,           60000 ,               ,1.7,          ,AZ,Apache Gold Casino
80440 E Aravaipa Rd Winkelman AZ 85192             ,32.8487462,-110.7028107,"['04009', '04007', '04021', '04019']",San Carlos Apache Tribe of the San Carlos Reservation                                 ,Class III                             ,300,     2017 ,           15000 ,               ,5.0,  26000000,AZ,Apache Sky Casino
9431 W Northern Ave Glendale AZ 85305              ,33.54668555,-112.2611265,"['04013', '04021', '04025']",Tohono O'odham Nation of Arizona                                                      ,Class II & III                        ,1400,     2015 ,           75000 ,               ,163.8645896, 450000000,AZ,Desert Diamond Casino West Valley Si'al Ke
Indian Rte 3 Pisinemo AZ 85634                     ,31.92252304,-112.2141602,['04019'],Tohono O'odham Nation of Arizona                                                      ,Class III                             ,75,     1999 ,                 ,               ,8.778460156,          ,AZ,Desert Diamond Why
7350 S Nogales Hwy Tucson AZ 85756                 ,32.1256815,-110.9611126,"['04023', '04021', '04019']",Tohono O'odham Nation of Arizona                                                      ,Class II & III                        ,1300,     1987 ,          164000 ,          2007 ,152.159976,  90000000,AZ,Desert Diamond Tucson
1100 W Pima Mine Rd Sahuarita AZ 85629             ,32.001234,-110.9780074,"['04023', '04019']",Tohono O'odham Nation of Arizona                                                      ,Class II & III                        ,563,     2001 ,          180000 ,               ,65.89697424,          ,AZ,Desert Diamond Sahuarita
308 E Ridge Ln Payson AZ 85541                     ,34.22496845,-111.3260195,"['04005', '04013', '04007', '04025']",Tonto Apache Tribe of Arizona                                                         ,Class II & III                        ,400,     1993 ,          120000 ,               ,18.2,          ,AZ,Mazatzal Hotel & Casino
777 AZ-260 Pinetop AZ 85935                        ,34.12971953,-109.9462642,"['04007', '04001', '04017']",White Mountain Apache Tribe of the Fort Apache Reservation (Arizona)                  ,Class II & III                        ,829,     1993 ,           18600 ,               ,6.1,          ,AZ,Hon Dah Resort - Casino
555 W Middle Verde Rd Camp Verde AZ 86322          ,34.60643655,-111.8623177,"['04005', '04007', '04025']",Yavapai-Apache Nation of the Camp Verde Indian Reservation                            ,Class II & III (See 25 CFR 502.3 & 4) ,650,     1995 ,          114000 ,          2016 ,63.7,  30000000,AZ,Cliff Castle Casino
500 AZ-89 Prescott AZ 86301                        ,34.5553492,-112.4534938,"['04005', '04025']",Yavapai-Prescott Indian Tribe                                                         ,Class II & III (See 25 CFR 502.3 & 4) ,475,     1992 ,           24000 ,               ,6.9,  40000000,AZ,Bucky's Casino
1505 AZ-69 Prescott AZ 86301                       ,34.54817253,-112.446286,['04025'],Yavapai-Prescott Indian Tribe                                                         ,Class III (See 25 CFR 502.3 & 4)      ,175,     1994 ,            6000 ,               ,2.0,          ,AZ,Yavapai Gaming Center
