Address                                            ,latitude           ,longitude           ,fips_codes_30_mile                                                                                                               ,Tribe Name                                                                            ,TribeDividend,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23   ,Cost,ID,State,Casino_Name,casino_control_counties
310 Bayview Blvd Klawock AK 99925                  ,55.55855186421552,-133.0981653283702,2198.0,Klawock Cooperative Association                                                       ,0.0,65,     2020 ,                 ,               ,1.0,          ,1,AK,Klawock Bingo,
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,2130.0,Metlakatla Indian Community Annette Island Reservation                                ,0.0,90,     2006 ,            6000 ,               ,1.0,          ,2,AK,MIC Gaming Casino,
Western Ave Metlakatla AK 99926                    ,55.1278099,-131.5837248,2198.0,Metlakatla Indian Community Annette Island Reservation                                ,0.0,90,     2006 ,            6000 ,               ,1.0,          ,2,AK,MIC Gaming Casino,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1035.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,12033.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,12113.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1053.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1003.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1099.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
6450 AL-21 Atmore AL 36502                         ,31.112286347379865,-87.47290405836011,1025.0,Poarch Band of Creek Indians                                                          ,70000.0,1700,     2009 ,           57000 ,               ,156.270229, 245000000,3,AL,Wind Creek Casino and Hotel - Atmore,
1801 Eddie L Tullis Rd Montgomery AL 36117         ,32.425383,-86.1392198,1001.0,Poarch Band of Creek Indians                                                          ,70000.0,2200,     2015 ,           90000 ,               ,202.2320611,  46000000,4,AL,Wind Creek Casino and Hotel - Montgomery,
1801 Eddie L Tullis Rd Montgomery AL 36117         ,32.425383,-86.1392198,1051.0,Poarch Band of Creek Indians                                                          ,70000.0,2200,     2015 ,           90000 ,               ,202.2320611,  46000000,4,AL,Wind Creek Casino and Hotel - Montgomery,
