State,fips_codes,Year
AL,1001,1970
AL,1001,1971
AL,1001,1972
AL,1001,1973
AL,1001,1974
AL,1001,1975
AL,1001,1976
AL,1001,1977
AL,1001,1978
AL,1001,1979
AL,1001,1980
AL,1001,1981
AL,1001,1982
AL,1001,1983
AL,1001,1984
AL,1001,1985
AL,1001,1986
AL,1001,1987
AL,1001,1988
AL,1001,1989
AL,1001,1990
AL,1001,1991
AL,1001,1992
AL,1001,1993
AL,1001,1994
AL,1001,1995
AL,1001,1996
AL,1001,1997
AL,1001,1998
AL,1001,1999
AL,1001,2000
AL,1001,2001
AL,1001,2002
AL,1001,2003
AL,1001,2004
AL,1001,2005
AL,1001,2006
AL,1001,2007
AL,1001,2008
AL,1001,2009
AL,1001,2010
AL,1001,2011
AL,1001,2012
AL,1001,2013
AL,1001,2014
AL,1001,2015
AL,1001,2016
AL,1001,2017
AL,1003,1970
AL,1003,1971
AL,1003,1972
AL,1003,1973
AL,1003,1974
AL,1003,1975
AL,1003,1976
AL,1003,1977
AL,1003,1978
AL,1003,1979
AL,1003,1980
AL,1003,1981
AL,1003,1982
AL,1003,1983
AL,1003,1984
AL,1003,1985
AL,1003,1986
AL,1003,1987
AL,1003,1988
AL,1003,1989
AL,1003,1990
AL,1003,1991
AL,1003,1992
AL,1003,1993
AL,1003,1994
AL,1003,1995
AL,1003,1996
AL,1003,1997
AL,1003,1998
AL,1003,1999
AL,1003,2000
AL,1003,2001
AL,1003,2002
AL,1003,2003
AL,1003,2004
AL,1003,2005
AL,1003,2006
AL,1003,2007
AL,1003,2008
AL,1003,2009
AL,1003,2010
AL,1003,2011
AL,1003,2012
AL,1003,2013
AL,1003,2014
AL,1003,2015
AL,1003,2016
AL,1003,2017
AL,1005,1970
AL,1005,1971
AL,1005,1972
AL,1005,1973
AL,1005,1974
AL,1005,1975
AL,1005,1976
AL,1005,1977
AL,1005,1978
AL,1005,1979
AL,1005,1980
AL,1005,1981
AL,1005,1982
AL,1005,1983
AL,1005,1984
AL,1005,1985
AL,1005,1986
AL,1005,1987
AL,1005,1988
AL,1005,1989
AL,1005,1990
AL,1005,1991
AL,1005,1992
AL,1005,1993
AL,1005,1994
AL,1005,1995
AL,1005,1996
AL,1005,1997
AL,1005,1998
AL,1005,1999
AL,1005,2000
AL,1005,2001
AL,1005,2002
AL,1005,2003
AL,1005,2004
AL,1005,2005
AL,1005,2006
AL,1005,2007
AL,1005,2008
AL,1005,2009
AL,1005,2010
AL,1005,2011
AL,1005,2012
AL,1005,2013
AL,1005,2014
AL,1005,2015
AL,1005,2016
AL,1005,2017
AL,1007,1970
AL,1007,1971
AL,1007,1972
AL,1007,1973
AL,1007,1974
AL,1007,1975
AL,1007,1976
AL,1007,1977
AL,1007,1978
AL,1007,1979
AL,1007,1980
AL,1007,1981
AL,1007,1982
AL,1007,1983
AL,1007,1984
AL,1007,1985
AL,1007,1986
AL,1007,1987
AL,1007,1988
AL,1007,1989
AL,1007,1990
AL,1007,1991
AL,1007,1992
AL,1007,1993
AL,1007,1994
AL,1007,1995
AL,1007,1996
AL,1007,1997
AL,1007,1998
AL,1007,1999
AL,1007,2000
AL,1007,2001
AL,1007,2002
AL,1007,2003
AL,1007,2004
AL,1007,2005
AL,1007,2006
AL,1007,2007
AL,1007,2008
AL,1007,2009
AL,1007,2010
AL,1007,2011
AL,1007,2012
AL,1007,2013
AL,1007,2014
AL,1007,2015
AL,1007,2016
AL,1007,2017
AL,1009,1970
AL,1009,1971
AL,1009,1972
AL,1009,1973
AL,1009,1974
AL,1009,1975
AL,1009,1976
AL,1009,1977
AL,1009,1978
AL,1009,1979
AL,1009,1980
AL,1009,1981
AL,1009,1982
AL,1009,1983
AL,1009,1984
AL,1009,1985
AL,1009,1986
AL,1009,1987
AL,1009,1988
AL,1009,1989
AL,1009,1990
AL,1009,1991
AL,1009,1992
AL,1009,1993
AL,1009,1994
AL,1009,1995
AL,1009,1996
AL,1009,1997
AL,1009,1998
AL,1009,1999
AL,1009,2000
AL,1009,2001
AL,1009,2002
AL,1009,2003
AL,1009,2004
AL,1009,2005
AL,1009,2006
AL,1009,2007
AL,1009,2008
AL,1009,2009
AL,1009,2010
AL,1009,2011
AL,1009,2012
AL,1009,2013
AL,1009,2014
AL,1009,2015
AL,1009,2016
AL,1009,2017
AL,1011,1970
AL,1011,1971
AL,1011,1972
AL,1011,1973
AL,1011,1974
AL,1011,1975
AL,1011,1976
AL,1011,1977
AL,1011,1978
AL,1011,1979
AL,1011,1980
AL,1011,1981
AL,1011,1982
AL,1011,1983
AL,1011,1984
AL,1011,1985
AL,1011,1986
AL,1011,1987
AL,1011,1988
AL,1011,1989
AL,1011,1990
AL,1011,1991
AL,1011,1992
AL,1011,1993
AL,1011,1994
AL,1011,1995
AL,1011,1996
AL,1011,1997
AL,1011,1998
AL,1011,1999
AL,1011,2000
AL,1011,2001
AL,1011,2002
AL,1011,2003
AL,1011,2004
AL,1011,2005
AL,1011,2006
AL,1011,2007
AL,1011,2008
AL,1011,2009
AL,1011,2010
AL,1011,2011
AL,1011,2012
AL,1011,2013
AL,1011,2014
AL,1011,2015
AL,1011,2016
AL,1011,2017
AL,1013,1970
AL,1013,1971
AL,1013,1972
AL,1013,1973
AL,1013,1974
AL,1013,1975
AL,1013,1976
AL,1013,1977
AL,1013,1978
AL,1013,1979
AL,1013,1980
AL,1013,1981
AL,1013,1982
AL,1013,1983
AL,1013,1984
AL,1013,1985
AL,1013,1986
AL,1013,1987
AL,1013,1988
AL,1013,1989
AL,1013,1990
AL,1013,1991
AL,1013,1992
AL,1013,1993
AL,1013,1994
AL,1013,1995
AL,1013,1996
AL,1013,1997
AL,1013,1998
AL,1013,1999
AL,1013,2000
AL,1013,2001
AL,1013,2002
AL,1013,2003
AL,1013,2004
AL,1013,2005
AL,1013,2006
AL,1013,2007
AL,1013,2008
AL,1013,2009
AL,1013,2010
AL,1013,2011
AL,1013,2012
AL,1013,2013
AL,1013,2014
AL,1013,2015
AL,1013,2016
AL,1013,2017
AL,1015,1970
AL,1015,1971
AL,1015,1972
AL,1015,1973
AL,1015,1974
AL,1015,1975
AL,1015,1976
AL,1015,1977
AL,1015,1978
AL,1015,1979
AL,1015,1980
AL,1015,1981
AL,1015,1982
AL,1015,1983
AL,1015,1984
AL,1015,1985
AL,1015,1986
AL,1015,1987
AL,1015,1988
AL,1015,1989
AL,1015,1990
AL,1015,1991
AL,1015,1992
AL,1015,1993
AL,1015,1994
AL,1015,1995
AL,1015,1996
AL,1015,1997
AL,1015,1998
AL,1015,1999
AL,1015,2000
AL,1015,2001
AL,1015,2002
AL,1015,2003
AL,1015,2004
AL,1015,2005
AL,1015,2006
AL,1015,2007
AL,1015,2008
AL,1015,2009
AL,1015,2010
AL,1015,2011
AL,1015,2012
AL,1015,2013
AL,1015,2014
AL,1015,2015
AL,1015,2016
AL,1015,2017
AL,1017,1970
AL,1017,1971
AL,1017,1972
AL,1017,1973
AL,1017,1974
AL,1017,1975
AL,1017,1976
AL,1017,1977
AL,1017,1978
AL,1017,1979
AL,1017,1980
AL,1017,1981
AL,1017,1982
AL,1017,1983
AL,1017,1984
AL,1017,1985
AL,1017,1986
AL,1017,1987
AL,1017,1988
AL,1017,1989
AL,1017,1990
AL,1017,1991
AL,1017,1992
AL,1017,1993
AL,1017,1994
AL,1017,1995
AL,1017,1996
AL,1017,1997
AL,1017,1998
AL,1017,1999
AL,1017,2000
AL,1017,2001
AL,1017,2002
AL,1017,2003
AL,1017,2004
AL,1017,2005
AL,1017,2006
AL,1017,2007
AL,1017,2008
AL,1017,2009
AL,1017,2010
AL,1017,2011
AL,1017,2012
AL,1017,2013
AL,1017,2014
AL,1017,2015
AL,1017,2016
AL,1017,2017
AL,1019,1970
AL,1019,1971
AL,1019,1972
AL,1019,1973
AL,1019,1974
AL,1019,1975
AL,1019,1976
AL,1019,1977
AL,1019,1978
AL,1019,1979
AL,1019,1980
AL,1019,1981
AL,1019,1982
AL,1019,1983
AL,1019,1984
AL,1019,1985
AL,1019,1986
AL,1019,1987
AL,1019,1988
AL,1019,1989
AL,1019,1990
AL,1019,1991
AL,1019,1992
AL,1019,1993
AL,1019,1994
AL,1019,1995
AL,1019,1996
AL,1019,1997
AL,1019,1998
AL,1019,1999
AL,1019,2000
AL,1019,2001
AL,1019,2002
AL,1019,2003
AL,1019,2004
AL,1019,2005
AL,1019,2006
AL,1019,2007
AL,1019,2008
AL,1019,2009
AL,1019,2010
AL,1019,2011
AL,1019,2012
AL,1019,2013
AL,1019,2014
AL,1019,2015
AL,1019,2016
AL,1019,2017
AL,1021,1970
AL,1021,1971
AL,1021,1972
AL,1021,1973
AL,1021,1974
AL,1021,1975
AL,1021,1976
AL,1021,1977
AL,1021,1978
AL,1021,1979
AL,1021,1980
AL,1021,1981
AL,1021,1982
AL,1021,1983
AL,1021,1984
AL,1021,1985
AL,1021,1986
AL,1021,1987
AL,1021,1988
AL,1021,1989
AL,1021,1990
AL,1021,1991
AL,1021,1992
AL,1021,1993
AL,1021,1994
AL,1021,1995
AL,1021,1996
AL,1021,1997
AL,1021,1998
AL,1021,1999
AL,1021,2000
AL,1021,2001
AL,1021,2002
AL,1021,2003
AL,1021,2004
AL,1021,2005
AL,1021,2006
AL,1021,2007
AL,1021,2008
AL,1021,2009
AL,1021,2010
AL,1021,2011
AL,1021,2012
AL,1021,2013
AL,1021,2014
AL,1021,2015
AL,1021,2016
AL,1021,2017
AL,1023,1970
AL,1023,1971
AL,1023,1972
AL,1023,1973
AL,1023,1974
AL,1023,1975
AL,1023,1976
AL,1023,1977
AL,1023,1978
AL,1023,1979
AL,1023,1980
AL,1023,1981
AL,1023,1982
AL,1023,1983
AL,1023,1984
AL,1023,1985
AL,1023,1986
AL,1023,1987
AL,1023,1988
AL,1023,1989
AL,1023,1990
AL,1023,1991
AL,1023,1992
AL,1023,1993
AL,1023,1994
AL,1023,1995
AL,1023,1996
AL,1023,1997
AL,1023,1998
AL,1023,1999
AL,1023,2000
AL,1023,2001
AL,1023,2002
AL,1023,2003
AL,1023,2004
AL,1023,2005
AL,1023,2006
AL,1023,2007
AL,1023,2008
AL,1023,2009
AL,1023,2010
AL,1023,2011
AL,1023,2012
AL,1023,2013
AL,1023,2014
