State ,Tribe Name                                                                            ,Casino Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                     ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,Renovation_Expansion_completeDate ,CasinoWebsiteLink                                                                                                                                                                                                                                                                                                                    ,Cost
AK    ,Klawock Cooperative Association                                                       ,Klawock Bingo                                               ,310 Bayview Blvd Klawock AK 99925                                     ,Class II                              ,907-755-4807 ,907-755-2265                 ,smokemanager@klawocktribe.org                                                         ,        65 ,     2020 ,                 ,                                  ,https://www.krbd.org/2022/11/01/klawocks-tribe-runs-slot-style-electronic-bingo-machines-in-its-own-slice-of-indian-country/#:~:text=Program%20Schedule-Klawock%27s%20tribe%20runs%20slot-style%20%27electronic%20bingo%27%20machines%20inown%20slice%20of%20%27Indian%20Country%27&text=Electronic%20bingo%20machines%20on%20the14. ,          
AK    ,Metlakatla Indian Community Annette Island Reservation                                ,MIC Gaming Casino                                           ,8th and Waterfront Metlakatla AK 99926                                ,Class II                              ,907-886-4266 ,907-886-7997                 ,jonihudson@rocketmail.com                                                             ,        90 ,     2006 ,            6000 ,                                  ,https://alaska.casinocity.com/metlakatla/mic-gaming-hall/ https://www.worldcasinodirectory.com/casino/metlakata-indian-community-bingo-1858                                                                                                                                                                                          ,          
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Atmore                        ,303 Poarch Rd Atmore AL 36502                                         ,Class II                              ,251-446-4269 ,251-368-8590                 ,tramer@windcreek.com                                                                  ,      1700 ,     2009 ,           57000 ,                                  ,https://coast360.com/locations/wind-creek-casino-hotel/#:~:text=Wind%20Creek%20Casino%20%26%20Hotel%20is-a-day%20room%20service.https://www.500nations.com/casinos/al-wind-creek-atmore.asp#:~:text=Wind%20Creek%20Atmore%20is%20a%20%24245%20million%20casino%20resort%20whichvenues%20and%20an%20RV%20park.                        , 245000000
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Montgomery                    ,1801 Eddie L Tullis Rd Montgomery AL 36117                            ,Class II                              ,334-514-5126 ,334-396-9282                 ,jcarlton@windcreekmontgomery.com                                                      ,      2200 ,     2015 ,           90000 ,                                  ,https://windcreek.com/montgomery                                                                                                                                                                                                                                                                                                     ,  46000000
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Wetumpka                      ,100 River Oaks Dr Wetumpka AL 36092                                   ,Class II                              ,334-514-1284 ,334-514-9574                 ,ksimmons@windcreek.com                                                                ,      2650 ,     2014 ,          125000 ,                                  ,https://flintco.com/our-work/projects/wind-creek-casino-hotel-wetumpka/#:~:text=This%20new%20520%2C000-square-footwith%20283%20rooms%20and%20suites.https://www.tuscaloosanews.com/story/news/2013/10/25/wetumpka-hotel-casino-will-be-alabamas-largest/29913035007/                                                                 , 250000000
AZ    ,Ak-Chin Indian Community of the Maricopa Indian Reservation                           ,Harrah's Ak-Chin Casino Resort                              ,15406 N Maricopa Rd Maricopa AZ 85139                                 ,Class II & III                        ,480-802-5051 ,480-802-5048                 ,rkintner@ceasars.com                                                                  ,      1135 ,     1994 ,           40000 ,                             2011 ,https://dbia.org/project/harrahs-ak-chin-hotel-and-casino-expansion/                                                                                                                                                                                                                                                                 , 162084640
AZ    ,Cocopah Tribe of Arizona                                                              ,Cocopah Bingo and Casino                                    ,15318 S Avenue B Somerton AZ 85350                                    ,Class II & III                        ,928-726-8066 ,928-344-8010                 ,sknapp@cocopah-casino.com                                                             ,       400 ,     1993 ,           24000 ,                             2003 ,https://arizona.casinocity.com/somerton/cocopah-casino-and-resort/ https://www.globest.com/2002/03/21/15m-cocopah-casino-breaks-ground-monday/?slreturn=2024081202029                                                                                                                                                                ,  15000000
AZ    ,Colorado River Indian Tribes of the Colorado River Indian Reservation (AZ and CA)     ,Blue Water Casino                                           ,11300 Resort Dr Parker AZ 85344                                       ,Class II & III                        ,888-243-3360 ,928-669-5910                 ,                                                                                      ,       500 ,     1999 ,           30000 ,                                  ,https://business.parkeraz.org/list/member/bluewater-resort-casino-178 v                                                                                                                                                                                                                                                              ,  50000000
AZ    ,Fort McDowell Yavapai Nation of Arizona                                               ,We-Ko-Pa Casino Resort                                      ,10438 Wekopa Way Fort McDowell AZ 85264                               ,Class II & III                        ,480-789-4701 ,480-837-0844                 ,amoss@wekopacasinoresort.com                                                          ,      1100 ,     1984 ,          166341 ,                             2020 ,https://www.500nations.com/casinos/az-we-ko-pa-casino.asp                                                                                                                                                                                                                                                                            , 120000000
AZ    ,Fort Mojave Indian Tribe                                                              ,Spirit Mountain Casino                                      ,8555 AZ-95 Mohave Valley AZ 86440                                     ,Class III                             ,928-346-2000 ,928-346-2007                 ,                                                                                      ,       250 ,     1995 ,           10000 ,                                  ,https://spiritmountain.com/history/#:~:text=1995%3A%20SPIRIT%20MOUNTAIN%20CASINO%20OPENSits%20doors%20to%20the%20public.                                                                                                                                                                                                             ,          
