State ,Tribe Name                                                                            ,Casino_Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                  ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost
AK    ,Klawock Cooperative Association                                                       ,Klawock Bingo                                               ,310 Bayview Blvd Klawock AK 99925                                     ,Class II                              ,907-755-4807 ,907-755-2265              ,smokemanager@klawocktribe.org                                                         ,        65 ,     2020 ,                 ,               ,  1            ,          
AK    ,Metlakatla Indian Community Annette Island Reservation                                ,MIC Gaming Casino                                           ,8th and Waterfront Metlakatla AK 99926                                ,Class II                              ,907-886-4266 ,907-886-7997              ,jonihudson@rocketmail.com                                                             ,        90 ,     2006 ,            6000 ,               ,  1            ,          
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Atmore                        ,303 Poarch Rd Atmore AL 36502                                         ,Class II                              ,251-446-4269 ,251-368-8590              ,tramer@windcreek.com                                                                  ,      1700 ,     2009 ,           57000 ,               ,156.270229     , 245000000
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Montgomery                    ,1801 Eddie L Tullis Rd Montgomery AL 36117                            ,Class II                              ,334-514-5126 ,334-396-9282              ,jcarlton@windcreekmontgomery.com                                                      ,      2200 ,     2015 ,           90000 ,               ,202.2320611    ,  46000000
AL    ,Poarch Band of Creek Indians                                                          ,Wind Creek Casino and Hotel - Wetumpka                      ,100 River Oaks Dr Wetumpka AL 36092                                   ,Class II                              ,334-514-1284 ,334-514-9574              ,ksimmons@windcreek.com                                                                ,      2650 ,     2014 ,          125000 ,               ,243.5977099    , 250000000
AZ    ,Ak-Chin Indian Community of the Maricopa Indian Reservation                           ,Harrah's Ak-Chin Casino Resort                              ,15406 N Maricopa Rd Maricopa AZ 85139                                 ,Class II & III                        ,480-802-5051 ,480-802-5048              ,rkintner@ceasars.com                                                                  ,      1135 ,     1994 ,           40000 ,          2011 ,150            , 162084640
AZ    ,Cocopah Tribe of Arizona                                                              ,Cocopah Bingo and Casino                                    ,15318 S Avenue B Somerton AZ 85350                                    ,Class II & III                        ,928-726-8066 ,928-344-8010              ,sknapp@cocopah-casino.com                                                             ,       400 ,     1993 ,           24000 ,          2003 , 50.8          ,  15000000
AZ    ,Colorado River Indian Tribes of the Colorado River Indian Reservation (AZ and CA)     ,Blue Water Casino                                           ,11300 Resort Dr Parker AZ 85344                                       ,Class II & III                        ,888-243-3360 ,928-669-5910              ,                                                                                      ,       500 ,     1999 ,           30000 ,               , 29.2          ,  50000000
AZ    ,Fort McDowell Yavapai Nation of Arizona                                               ,We-Ko-Pa Casino Resort                                      ,10438 Wekopa Way Fort McDowell AZ 85264                               ,Class II & III                        ,480-789-4701 ,480-837-0844              ,amoss@wekopacasinoresort.com                                                          ,      1100 ,     1984 ,          166341 ,          2020 , 11.8          , 120000000
AZ    ,Fort Mojave Indian Tribe                                                              ,Spirit Mountain Casino                                      ,8555 AZ-95 Mohave Valley AZ 86440                                     ,Class III                             ,928-346-2000 ,928-346-2007              ,                                                                                      ,       250 ,     1995 ,           10000 ,               , 14            ,          
